parameters,metric_score,training_stats,eval_stats,trial_id,trial_dir,time_this_iter_s,should_checkpoint,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21599999070167542], ""accuracy_micro"": [0.2846441864967346], ""hits_at_k"": [0.59675532579422], ""loss"": [1.5892961025238037], ""roc_auc"": [0.49102479219436646]}, ""combined"": {""loss"": [1.5892961025238037]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224], ""accuracy_micro"": [0.21052631735801697], ""hits_at_k"": [0.6000000238418579], ""loss"": [1.7234182357788086], ""roc_auc"": [0.5709211230278015]}, ""combined"": {""loss"": [1.7234182357788086]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224], ""accuracy_micro"": [0.22368420660495758], ""hits_at_k"": [0.6000000238418579], ""loss"": [1.6006090641021729], ""roc_auc"": [0.5614155530929565]}, ""combined"": {""loss"": [1.6006090641021729]}}}",{},1d40454c,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_1d40454c/,2.5542569160461426,True,False,1,2026-04-15_14-37-00,1776235020,2.5542569160461426,3595962,ubunto,202.113.76.55,2.5542569160461426,1
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21599999070167542, 0.20000000298023224], ""accuracy_micro"": [0.2846441864967346, 0.2996254563331604], ""hits_at_k"": [0.59675532579422, 0.6000000238418579], ""loss"": [1.5892961025238037, 1.5986928939819336], ""roc_auc"": [0.49102479219436646, 0.4620993733406067]}, ""combined"": {""loss"": [1.5892961025238037, 1.5986928939819336]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579], ""loss"": [1.7234182357788086, 1.648328423500061], ""roc_auc"": [0.5709211230278015, 0.5345069766044617]}, ""combined"": {""loss"": [1.7234182357788086, 1.648328423500061]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579], ""loss"": [1.6006090641021729, 1.584585428237915], ""roc_auc"": [0.5614155530929565, 0.6300212144851685]}, ""combined"": {""loss"": [1.6006090641021729, 1.584585428237915]}}}",{},1d40454c,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_1d40454c/,0.10124516487121582,True,False,2,2026-04-15_14-37-00,1776235020,2.6555020809173584,3595962,ubunto,202.113.76.55,2.6555020809173584,2
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21599999070167542, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.2846441864967346, 0.2996254563331604, 0.2996254563331604], ""hits_at_k"": [0.59675532579422, 0.6000000238418579, 0.6152340173721313], ""loss"": [1.5892961025238037, 1.5986928939819336, 1.5797569751739502], ""roc_auc"": [0.49102479219436646, 0.4620993733406067, 0.49483722448349]}, ""combined"": {""loss"": [1.5892961025238037, 1.5986928939819336, 1.5797569751739502]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [1.7234182357788086, 1.648328423500061, 1.6576664447784424], ""roc_auc"": [0.5709211230278015, 0.5345069766044617, 0.5210981369018555]}, ""combined"": {""loss"": [1.7234182357788086, 1.648328423500061, 1.6576664447784424]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.22368420660495758, 0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [1.6006090641021729, 1.584585428237915, 1.618276834487915], ""roc_auc"": [0.5614155530929565, 0.6300212144851685, 0.6328607797622681]}, ""combined"": {""loss"": [1.6006090641021729, 1.584585428237915, 1.618276834487915]}}}",{},1d40454c,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_1d40454c/,0.10188174247741699,True,False,3,2026-04-15_14-37-00,1776235020,2.7573838233947754,3595962,ubunto,202.113.76.55,2.7573838233947754,3
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21599999070167542, 0.20000000298023224, 0.20000000298023224, 0.20399999618530273], ""accuracy_micro"": [0.2846441864967346, 0.2996254563331604, 0.2996254563331604, 0.30337077379226685], ""hits_at_k"": [0.59675532579422, 0.6000000238418579, 0.6152340173721313, 0.6080000400543213], ""loss"": [1.5892961025238037, 1.5986928939819336, 1.5797569751739502, 1.5938514471054077], ""roc_auc"": [0.49102479219436646, 0.4620993733406067, 0.49483722448349, 0.500418484210968]}, ""combined"": {""loss"": [1.5892961025238037, 1.5986928939819336, 1.5797569751739502, 1.5938514471054077]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [1.7234182357788086, 1.648328423500061, 1.6576664447784424, 1.6402143239974976], ""roc_auc"": [0.5709211230278015, 0.5345069766044617, 0.5210981369018555, 0.4857769012451172]}, ""combined"": {""loss"": [1.7234182357788086, 1.648328423500061, 1.6576664447784424, 1.6402143239974976]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [1.6006090641021729, 1.584585428237915, 1.618276834487915, 1.6132211685180664], ""roc_auc"": [0.5614155530929565, 0.6300212144851685, 0.6328607797622681, 0.5732012391090393]}, ""combined"": {""loss"": [1.6006090641021729, 1.584585428237915, 1.618276834487915, 1.6132211685180664]}}}",{},1d40454c,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_1d40454c/,0.09936332702636719,True,False,4,2026-04-15_14-37-00,1776235020,2.8567471504211426,3595962,ubunto,202.113.76.55,2.8567471504211426,4
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21599999070167542, 0.20000000298023224, 0.20000000298023224, 0.20399999618530273, 0.20399999618530273], ""accuracy_micro"": [0.2846441864967346, 0.2996254563331604, 0.2996254563331604, 0.30337077379226685, 0.30337077379226685], ""hits_at_k"": [0.59675532579422, 0.6000000238418579, 0.6152340173721313, 0.6080000400543213, 0.5889999866485596], ""loss"": [1.5892961025238037, 1.5986928939819336, 1.5797569751739502, 1.5938514471054077, 1.5873932838439941], ""roc_auc"": [0.49102479219436646, 0.4620993733406067, 0.49483722448349, 0.500418484210968, 0.4747532308101654]}, ""combined"": {""loss"": [1.5892961025238037, 1.5986928939819336, 1.5797569751739502, 1.5938514471054077, 1.5873932838439941]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6166666746139526], ""loss"": [1.7234182357788086, 1.648328423500061, 1.6576664447784424, 1.6402143239974976, 1.6434146165847778], ""roc_auc"": [0.5709211230278015, 0.5345069766044617, 0.5210981369018555, 0.4857769012451172, 0.49846458435058594]}, ""combined"": {""loss"": [1.7234182357788086, 1.648328423500061, 1.6576664447784424, 1.6402143239974976, 1.6434146165847778]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.5733333230018616], ""loss"": [1.6006090641021729, 1.584585428237915, 1.618276834487915, 1.6132211685180664, 1.5838534832000732], ""roc_auc"": [0.5614155530929565, 0.6300212144851685, 0.6328607797622681, 0.5732012391090393, 0.565263569355011]}, ""combined"": {""loss"": [1.6006090641021729, 1.584585428237915, 1.618276834487915, 1.6132211685180664, 1.5838534832000732]}}}",{},1d40454c,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_1d40454c/,0.09708046913146973,True,False,5,2026-04-15_14-37-00,1776235020,2.9538276195526123,3595962,ubunto,202.113.76.55,2.9538276195526123,5
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21599999070167542, 0.20000000298023224, 0.20000000298023224, 0.20399999618530273, 0.20399999618530273, 0.20399999618530273], ""accuracy_micro"": [0.2846441864967346, 0.2996254563331604, 0.2996254563331604, 0.30337077379226685, 0.30337077379226685, 0.30337077379226685], ""hits_at_k"": [0.59675532579422, 0.6000000238418579, 0.6152340173721313, 0.6080000400543213, 0.5889999866485596, 0.6130000352859497], ""loss"": [1.5892961025238037, 1.5986928939819336, 1.5797569751739502, 1.5938514471054077, 1.5873932838439941, 1.5761022567749023], ""roc_auc"": [0.49102479219436646, 0.4620993733406067, 0.49483722448349, 0.500418484210968, 0.4747532308101654, 0.5663341283798218]}, ""combined"": {""loss"": [1.5892961025238037, 1.5986928939819336, 1.5797569751739502, 1.5938514471054077, 1.5873932838439941, 1.5761022567749023]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6166666746139526, 0.6000000238418579], ""loss"": [1.7234182357788086, 1.648328423500061, 1.6576664447784424, 1.6402143239974976, 1.6434146165847778, 1.6532304286956787], ""roc_auc"": [0.5709211230278015, 0.5345069766044617, 0.5210981369018555, 0.4857769012451172, 0.49846458435058594, 0.5491208434104919]}, ""combined"": {""loss"": [1.7234182357788086, 1.648328423500061, 1.6576664447784424, 1.6402143239974976, 1.6434146165847778, 1.6532304286956787]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.5733333230018616, 0.6048485040664673], ""loss"": [1.6006090641021729, 1.584585428237915, 1.618276834487915, 1.6132211685180664, 1.5838534832000732, 1.5968987941741943], ""roc_auc"": [0.5614155530929565, 0.6300212144851685, 0.6328607797622681, 0.5732012391090393, 0.565263569355011, 0.5993463397026062]}, ""combined"": {""loss"": [1.6006090641021729, 1.584585428237915, 1.618276834487915, 1.6132211685180664, 1.5838534832000732, 1.5968987941741943]}}}",{},1d40454c,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_1d40454c/,0.10039877891540527,True,False,6,2026-04-15_14-37-01,1776235021,3.0542263984680176,3595962,ubunto,202.113.76.55,3.0542263984680176,6
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21599999070167542, 0.20000000298023224, 0.20000000298023224, 0.20399999618530273, 0.20399999618530273, 0.20399999618530273], ""accuracy_micro"": [0.2846441864967346, 0.2996254563331604, 0.2996254563331604, 0.30337077379226685, 0.30337077379226685, 0.30337077379226685], ""hits_at_k"": [0.59675532579422, 0.6000000238418579, 0.6152340173721313, 0.6080000400543213, 0.5889999866485596, 0.6130000352859497], ""loss"": [1.5892961025238037, 1.5986928939819336, 1.5797569751739502, 1.5938514471054077, 1.5873932838439941, 1.5761022567749023], ""roc_auc"": [0.49102479219436646, 0.4620993733406067, 0.49483722448349, 0.500418484210968, 0.4747532308101654, 0.5663341283798218]}, ""combined"": {""loss"": [1.5892961025238037, 1.5986928939819336, 1.5797569751739502, 1.5938514471054077, 1.5873932838439941, 1.5761022567749023]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6166666746139526, 0.6000000238418579], ""loss"": [1.7234182357788086, 1.648328423500061, 1.6576664447784424, 1.6402143239974976, 1.6434146165847778, 1.6532304286956787], ""roc_auc"": [0.5709211230278015, 0.5345069766044617, 0.5210981369018555, 0.4857769012451172, 0.49846458435058594, 0.5491208434104919]}, ""combined"": {""loss"": [1.7234182357788086, 1.648328423500061, 1.6576664447784424, 1.6402143239974976, 1.6434146165847778, 1.6532304286956787]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.5733333230018616, 0.6048485040664673], ""loss"": [1.6006090641021729, 1.584585428237915, 1.618276834487915, 1.6132211685180664, 1.5838534832000732, 1.5968987941741943], ""roc_auc"": [0.5614155530929565, 0.6300212144851685, 0.6328607797622681, 0.5732012391090393, 0.565263569355011, 0.5993463397026062]}, ""combined"": {""loss"": [1.6006090641021729, 1.584585428237915, 1.618276834487915, 1.6132211685180664, 1.5838534832000732, 1.5968987941741943]}}, ""evaluation_frequency"": {""frequency"": 1, ""period"": ""epoch""}}","{""label"": {""loss"": 1.7018687725067139, ""roc_auc"": 0.5709211230278015, ""accuracy"": 0.20000000298023224, ""accuracy_micro"": 0.21052631735801697, ""hits_at_k"": 0.6000000238418579, ""confusion_matrix"": [[8, 0, 0, 0, 0], [6, 0, 0, 0, 0], [10, 0, 0, 0, 0], [2, 0, 0, 0, 0], [12, 0, 0, 0, 0]], ""overall_stats"": {""token_accuracy"": 0.21052631578947367, ""avg_precision_macro"": 0.042105263157894736, ""avg_recall_macro"": 0.2, ""avg_f1_score_macro"": 0.06956521739130435, ""avg_precision_micro"": 0.21052631578947367, ""avg_recall_micro"": 0.21052631578947367, ""avg_f1_score_micro"": 0.21052631578947367, ""avg_precision_weighted"": 0.21052631578947367, ""avg_recall_weighted"": 0.21052631578947367, ""avg_f1_score_weighted"": 0.07322654462242563, ""kappa_score"": 0.0}, ""per_class_stats"": {""oos"": {""true_positives"": 8, ""true_negatives"": 0, ""false_positives"": 30, ""false_negatives"": 0, ""true_positive_rate"": 1.0, ""true_negative_rate"": 0.0, ""positive_predictive_value"": 0.21052631578947367, ""negative_predictive_value"": 0, ""false_negative_rate"": 0.0, ""false_positive_rate"": 1.0, ""false_discovery_rate"": 0.7894736842105263, ""false_omission_rate"": 1.0, ""accuracy"": 0.21052631578947367, ""precision"": 0.21052631578947367, ""recall"": 1.0, ""f1_score"": 0.34782608695652173, ""sensitivity"": 1.0, ""specificity"": 0.0, ""hit_rate"": 1.0, ""miss_rate"": 0.0, ""fall_out"": 1.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.7894736842105263}, ""administrative_office_service"": {""true_positives"": 0, ""true_negatives"": 32, ""false_positives"": 0, ""false_negatives"": 6, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.8421052631578947, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.1578947368421053, ""accuracy"": 0.8421052631578947, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.1578947368421053}, ""career_counseling_service"": {""true_positives"": 0, ""true_negatives"": 28, ""false_positives"": 0, ""false_negatives"": 10, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.7368421052631579, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.26315789473684215, ""accuracy"": 0.7368421052631579, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.26315789473684215}, ""network_information_service"": {""true_positives"": 0, ""true_negatives"": 36, ""false_positives"": 0, ""false_negatives"": 2, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.9473684210526315, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.052631578947368474, ""accuracy"": 0.9473684210526315, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.052631578947368474}, ""education_management_service"": {""true_positives"": 0, ""true_negatives"": 26, ""false_positives"": 0, ""false_negatives"": 12, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.6842105263157895, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.3157894736842105, ""accuracy"": 0.6842105263157895, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.3157894736842105}}}, ""combined"": {""loss"": 1.7018687725067139}}",1d40454c,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_1d40454c/,0.05555868148803711,,False,7,2026-04-15_14-37-01,1776235021,3.1097850799560547,3595962,ubunto,202.113.76.55,3.1097850799560547,7
