parameters,metric_score,training_stats,eval_stats,trial_id,trial_dir,time_this_iter_s,should_checkpoint,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.1930106282234192], ""accuracy_micro"": [0.24344569444656372], ""hits_at_k"": [0.585361659526825], ""loss"": [1.7756719589233398], ""roc_auc"": [0.46544498205184937]}, ""combined"": {""loss"": [1.7756719589233398]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224], ""accuracy_micro"": [0.21052631735801697], ""hits_at_k"": [0.5833333134651184], ""loss"": [1.5579566955566406], ""roc_auc"": [0.4465400278568268]}, ""combined"": {""loss"": [1.5579566955566406]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224], ""accuracy_micro"": [0.22368420660495758], ""hits_at_k"": [0.64000004529953], ""loss"": [1.5619784593582153], ""roc_auc"": [0.5622128248214722]}, ""combined"": {""loss"": [1.5619784593582153]}}}",{},141477fd,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_141477fd/,2.915308952331543,True,False,1,2026-04-15_14-36-02,1776234962,2.915308952331543,3591728,ubunto,202.113.76.55,2.915308952331543,1
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.25,"{""training"": {""label"": {""accuracy"": [0.1930106282234192, 0.24601063132286072], ""accuracy_micro"": [0.24344569444656372, 0.3258427083492279], ""hits_at_k"": [0.585361659526825, 0.6566063165664673], ""loss"": [1.7756719589233398, 1.6068977117538452], ""roc_auc"": [0.46544498205184937, 0.5330061316490173]}, ""combined"": {""loss"": [1.7756719589233398, 1.6068977117538452]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.25], ""accuracy_micro"": [0.21052631735801697, 0.28947368264198303], ""hits_at_k"": [0.5833333134651184, 0.7000000476837158], ""loss"": [1.5579566955566406, 1.779736042022705], ""roc_auc"": [0.4465400278568268, 0.5723251700401306]}, ""combined"": {""loss"": [1.5579566955566406, 1.779736042022705]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.29437658190727234], ""accuracy_micro"": [0.22368420660495758, 0.28947368264198303], ""hits_at_k"": [0.64000004529953, 0.734902024269104], ""loss"": [1.5619784593582153, 1.5411919355392456], ""roc_auc"": [0.5622128248214722, 0.5548529624938965]}, ""combined"": {""loss"": [1.5619784593582153, 1.5411919355392456]}}}",{},141477fd,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_141477fd/,3.235732316970825,True,False,2,2026-04-15_14-36-05,1776234965,6.151041269302368,3591728,ubunto,202.113.76.55,6.151041269302368,2
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.25,"{""training"": {""label"": {""accuracy"": [0.1930106282234192, 0.24601063132286072, 0.341776579618454], ""accuracy_micro"": [0.24344569444656372, 0.3258427083492279, 0.4157303273677826], ""hits_at_k"": [0.585361659526825, 0.6566063165664673, 0.7624255418777466], ""loss"": [1.7756719589233398, 1.6068977117538452, 1.4216892719268799], ""roc_auc"": [0.46544498205184937, 0.5330061316490173, 0.6748757362365723]}, ""combined"": {""loss"": [1.7756719589233398, 1.6068977117538452, 1.4216892719268799]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.25, 0.24166667461395264], ""accuracy_micro"": [0.21052631735801697, 0.28947368264198303, 0.28947368264198303], ""hits_at_k"": [0.5833333134651184, 0.7000000476837158, 0.73333340883255], ""loss"": [1.5579566955566406, 1.779736042022705, 1.665531873703003], ""roc_auc"": [0.4465400278568268, 0.5723251700401306, 0.5417315363883972]}, ""combined"": {""loss"": [1.5579566955566406, 1.779736042022705, 1.665531873703003]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.29437658190727234, 0.36364656686782837], ""accuracy_micro"": [0.22368420660495758, 0.28947368264198303, 0.3684210479259491], ""hits_at_k"": [0.64000004529953, 0.734902024269104, 0.788554310798645], ""loss"": [1.5619784593582153, 1.5411919355392456, 1.6376088857650757], ""roc_auc"": [0.5622128248214722, 0.5548529624938965, 0.583693265914917]}, ""combined"": {""loss"": [1.5619784593582153, 1.5411919355392456, 1.6376088857650757]}}}",{},141477fd,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_141477fd/,0.6045691967010498,True,False,3,2026-04-15_14-36-06,1776234966,6.755610466003418,3591728,ubunto,202.113.76.55,6.755610466003418,3
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.25,"{""training"": {""label"": {""accuracy"": [0.1930106282234192, 0.24601063132286072, 0.341776579618454, 0.5380531549453735], ""accuracy_micro"": [0.24344569444656372, 0.3258427083492279, 0.4157303273677826, 0.6029962301254272], ""hits_at_k"": [0.585361659526825, 0.6566063165664673, 0.7624255418777466, 0.8779467940330505], ""loss"": [1.7756719589233398, 1.6068977117538452, 1.4216892719268799, 0.9818013310432434], ""roc_auc"": [0.46544498205184937, 0.5330061316490173, 0.6748757362365723, 0.8445793986320496]}, ""combined"": {""loss"": [1.7756719589233398, 1.6068977117538452, 1.4216892719268799, 0.9818013310432434]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.25, 0.24166667461395264, 0.17499999701976776], ""accuracy_micro"": [0.21052631735801697, 0.28947368264198303, 0.28947368264198303, 0.21052631735801697], ""hits_at_k"": [0.5833333134651184, 0.7000000476837158, 0.73333340883255, 0.6650000214576721], ""loss"": [1.5579566955566406, 1.779736042022705, 1.665531873703003, 1.9037686586380005], ""roc_auc"": [0.4465400278568268, 0.5723251700401306, 0.5417315363883972, 0.5255212187767029]}, ""combined"": {""loss"": [1.5579566955566406, 1.779736042022705, 1.665531873703003, 1.9037686586380005]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.29437658190727234, 0.36364656686782837, 0.3080270290374756], ""accuracy_micro"": [0.22368420660495758, 0.28947368264198303, 0.3684210479259491, 0.32894736528396606], ""hits_at_k"": [0.64000004529953, 0.734902024269104, 0.788554310798645, 0.6889127492904663], ""loss"": [1.5619784593582153, 1.5411919355392456, 1.6376088857650757, 1.6699563264846802], ""roc_auc"": [0.5622128248214722, 0.5548529624938965, 0.583693265914917, 0.5793278217315674]}, ""combined"": {""loss"": [1.5619784593582153, 1.5411919355392456, 1.6376088857650757, 1.6699563264846802]}}}",{},141477fd,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_141477fd/,0.5519039630889893,True,False,4,2026-04-15_14-36-06,1776234966,7.307514429092407,3591728,ubunto,202.113.76.55,7.307514429092407,4
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.25,"{""training"": {""label"": {""accuracy"": [0.1930106282234192, 0.24601063132286072, 0.341776579618454, 0.5380531549453735, 0.7419255375862122], ""accuracy_micro"": [0.24344569444656372, 0.3258427083492279, 0.4157303273677826, 0.6029962301254272, 0.7827715277671814], ""hits_at_k"": [0.585361659526825, 0.6566063165664673, 0.7624255418777466, 0.8779467940330505, 0.9724787473678589], ""loss"": [1.7756719589233398, 1.6068977117538452, 1.4216892719268799, 0.9818013310432434, 0.4947778582572937], ""roc_auc"": [0.46544498205184937, 0.5330061316490173, 0.6748757362365723, 0.8445793986320496, 0.9590800404548645]}, ""combined"": {""loss"": [1.7756719589233398, 1.6068977117538452, 1.4216892719268799, 0.9818013310432434, 0.4947778582572937]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.25, 0.24166667461395264, 0.17499999701976776, 0.2199999988079071], ""accuracy_micro"": [0.21052631735801697, 0.28947368264198303, 0.28947368264198303, 0.21052631735801697, 0.18421052396297455], ""hits_at_k"": [0.5833333134651184, 0.7000000476837158, 0.73333340883255, 0.6650000214576721, 0.6000000238418579], ""loss"": [1.5579566955566406, 1.779736042022705, 1.665531873703003, 1.9037686586380005, 2.5337772369384766], ""roc_auc"": [0.4465400278568268, 0.5723251700401306, 0.5417315363883972, 0.5255212187767029, 0.600268542766571]}, ""combined"": {""loss"": [1.5579566955566406, 1.779736042022705, 1.665531873703003, 1.9037686586380005, 2.5337772369384766]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.29437658190727234, 0.36364656686782837, 0.3080270290374756, 0.3042686879634857], ""accuracy_micro"": [0.22368420660495758, 0.28947368264198303, 0.3684210479259491, 0.32894736528396606, 0.34210526943206787], ""hits_at_k"": [0.64000004529953, 0.734902024269104, 0.788554310798645, 0.6889127492904663, 0.6676648855209351], ""loss"": [1.5619784593582153, 1.5411919355392456, 1.6376088857650757, 1.6699563264846802, 2.5017778873443604], ""roc_auc"": [0.5622128248214722, 0.5548529624938965, 0.583693265914917, 0.5793278217315674, 0.6724369525909424]}, ""combined"": {""loss"": [1.5619784593582153, 1.5411919355392456, 1.6376088857650757, 1.6699563264846802, 2.5017778873443604]}}}",{},141477fd,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_141477fd/,0.635195255279541,True,False,5,2026-04-15_14-36-07,1776234967,7.942709684371948,3591728,ubunto,202.113.76.55,7.942709684371948,5
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.25,"{""training"": {""label"": {""accuracy"": [0.1930106282234192, 0.24601063132286072, 0.341776579618454, 0.5380531549453735, 0.7419255375862122, 0.9632234573364258], ""accuracy_micro"": [0.24344569444656372, 0.3258427083492279, 0.4157303273677826, 0.6029962301254272, 0.7827715277671814, 0.966292142868042], ""hits_at_k"": [0.585361659526825, 0.6566063165664673, 0.7624255418777466, 0.8779467940330505, 0.9724787473678589, 0.9957446455955505], ""loss"": [1.7756719589233398, 1.6068977117538452, 1.4216892719268799, 0.9818013310432434, 0.4947778582572937, 0.12213112413883209], ""roc_auc"": [0.46544498205184937, 0.5330061316490173, 0.6748757362365723, 0.8445793986320496, 0.9590800404548645, 0.9962881207466125]}, ""combined"": {""loss"": [1.7756719589233398, 1.6068977117538452, 1.4216892719268799, 0.9818013310432434, 0.4947778582572937, 0.12213112413883209]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.25, 0.24166667461395264, 0.17499999701976776, 0.2199999988079071, 0.19500000774860382], ""accuracy_micro"": [0.21052631735801697, 0.28947368264198303, 0.28947368264198303, 0.21052631735801697, 0.18421052396297455, 0.21052631735801697], ""hits_at_k"": [0.5833333134651184, 0.7000000476837158, 0.73333340883255, 0.6650000214576721, 0.6000000238418579, 0.6700000166893005], ""loss"": [1.5579566955566406, 1.779736042022705, 1.665531873703003, 1.9037686586380005, 2.5337772369384766, 3.203838586807251], ""roc_auc"": [0.4465400278568268, 0.5723251700401306, 0.5417315363883972, 0.5255212187767029, 0.600268542766571, 0.6031692028045654]}, ""combined"": {""loss"": [1.5579566955566406, 1.779736042022705, 1.665531873703003, 1.9037686586380005, 2.5337772369384766, 3.203838586807251]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.29437658190727234, 0.36364656686782837, 0.3080270290374756, 0.3042686879634857, 0.3359832465648651], ""accuracy_micro"": [0.22368420660495758, 0.28947368264198303, 0.3684210479259491, 0.32894736528396606, 0.34210526943206787, 0.3684210479259491], ""hits_at_k"": [0.64000004529953, 0.734902024269104, 0.788554310798645, 0.6889127492904663, 0.6676648855209351, 0.7020321488380432], ""loss"": [1.5619784593582153, 1.5411919355392456, 1.6376088857650757, 1.6699563264846802, 2.5017778873443604, 2.914588212966919], ""roc_auc"": [0.5622128248214722, 0.5548529624938965, 0.583693265914917, 0.5793278217315674, 0.6724369525909424, 0.6816251277923584]}, ""combined"": {""loss"": [1.5619784593582153, 1.5411919355392456, 1.6376088857650757, 1.6699563264846802, 2.5017778873443604, 2.914588212966919]}}}",{},141477fd,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_141477fd/,0.5434534549713135,True,False,6,2026-04-15_14-36-08,1776234968,8.486163139343262,3591728,ubunto,202.113.76.55,8.486163139343262,6
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.25,"{""training"": {""label"": {""accuracy"": [0.1930106282234192, 0.24601063132286072, 0.341776579618454, 0.5380531549453735, 0.7419255375862122, 0.9632234573364258, 1.0], ""accuracy_micro"": [0.24344569444656372, 0.3258427083492279, 0.4157303273677826, 0.6029962301254272, 0.7827715277671814, 0.966292142868042, 1.0], ""hits_at_k"": [0.585361659526825, 0.6566063165664673, 0.7624255418777466, 0.8779467940330505, 0.9724787473678589, 0.9957446455955505, 1.0], ""loss"": [1.7756719589233398, 1.6068977117538452, 1.4216892719268799, 0.9818013310432434, 0.4947778582572937, 0.12213112413883209, 0.012144394218921661], ""roc_auc"": [0.46544498205184937, 0.5330061316490173, 0.6748757362365723, 0.8445793986320496, 0.9590800404548645, 0.9962881207466125, 1.0]}, ""combined"": {""loss"": [1.7756719589233398, 1.6068977117538452, 1.4216892719268799, 0.9818013310432434, 0.4947778582572937, 0.12213112413883209, 0.012144394218921661]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.25, 0.24166667461395264, 0.17499999701976776, 0.2199999988079071, 0.19500000774860382, 0.24500000476837158], ""accuracy_micro"": [0.21052631735801697, 0.28947368264198303, 0.28947368264198303, 0.21052631735801697, 0.18421052396297455, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.5833333134651184, 0.7000000476837158, 0.73333340883255, 0.6650000214576721, 0.6000000238418579, 0.6700000166893005, 0.6250000596046448], ""loss"": [1.5579566955566406, 1.779736042022705, 1.665531873703003, 1.9037686586380005, 2.5337772369384766, 3.203838586807251, 4.253583908081055], ""roc_auc"": [0.4465400278568268, 0.5723251700401306, 0.5417315363883972, 0.5255212187767029, 0.600268542766571, 0.6031692028045654, 0.5459424257278442]}, ""combined"": {""loss"": [1.5579566955566406, 1.779736042022705, 1.665531873703003, 1.9037686586380005, 2.5337772369384766, 3.203838586807251, 4.253583908081055]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.29437658190727234, 0.36364656686782837, 0.3080270290374756, 0.3042686879634857, 0.3359832465648651, 0.2747950255870819], ""accuracy_micro"": [0.22368420660495758, 0.28947368264198303, 0.3684210479259491, 0.32894736528396606, 0.34210526943206787, 0.3684210479259491, 0.31578946113586426], ""hits_at_k"": [0.64000004529953, 0.734902024269104, 0.788554310798645, 0.6889127492904663, 0.6676648855209351, 0.7020321488380432, 0.6990374326705933], ""loss"": [1.5619784593582153, 1.5411919355392456, 1.6376088857650757, 1.6699563264846802, 2.5017778873443604, 2.914588212966919, 3.9327232837677], ""roc_auc"": [0.5622128248214722, 0.5548529624938965, 0.583693265914917, 0.5793278217315674, 0.6724369525909424, 0.6816251277923584, 0.6314147114753723]}, ""combined"": {""loss"": [1.5619784593582153, 1.5411919355392456, 1.6376088857650757, 1.6699563264846802, 2.5017778873443604, 2.914588212966919, 3.9327232837677]}}}",{},141477fd,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_141477fd/,0.5145297050476074,True,False,7,2026-04-15_14-36-08,1776234968,9.00069284439087,3591728,ubunto,202.113.76.55,9.00069284439087,7
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.25,"{""training"": {""label"": {""accuracy"": [0.1930106282234192, 0.24601063132286072, 0.341776579618454, 0.5380531549453735, 0.7419255375862122, 0.9632234573364258, 1.0], ""accuracy_micro"": [0.24344569444656372, 0.3258427083492279, 0.4157303273677826, 0.6029962301254272, 0.7827715277671814, 0.966292142868042, 1.0], ""hits_at_k"": [0.585361659526825, 0.6566063165664673, 0.7624255418777466, 0.8779467940330505, 0.9724787473678589, 0.9957446455955505, 1.0], ""loss"": [1.7756719589233398, 1.6068977117538452, 1.4216892719268799, 0.9818013310432434, 0.4947778582572937, 0.12213112413883209, 0.012144394218921661], ""roc_auc"": [0.46544498205184937, 0.5330061316490173, 0.6748757362365723, 0.8445793986320496, 0.9590800404548645, 0.9962881207466125, 1.0]}, ""combined"": {""loss"": [1.7756719589233398, 1.6068977117538452, 1.4216892719268799, 0.9818013310432434, 0.4947778582572937, 0.12213112413883209, 0.012144394218921661]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.25, 0.24166667461395264, 0.17499999701976776, 0.2199999988079071, 0.19500000774860382, 0.24500000476837158], ""accuracy_micro"": [0.21052631735801697, 0.28947368264198303, 0.28947368264198303, 0.21052631735801697, 0.18421052396297455, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.5833333134651184, 0.7000000476837158, 0.73333340883255, 0.6650000214576721, 0.6000000238418579, 0.6700000166893005, 0.6250000596046448], ""loss"": [1.5579566955566406, 1.779736042022705, 1.665531873703003, 1.9037686586380005, 2.5337772369384766, 3.203838586807251, 4.253583908081055], ""roc_auc"": [0.4465400278568268, 0.5723251700401306, 0.5417315363883972, 0.5255212187767029, 0.600268542766571, 0.6031692028045654, 0.5459424257278442]}, ""combined"": {""loss"": [1.5579566955566406, 1.779736042022705, 1.665531873703003, 1.9037686586380005, 2.5337772369384766, 3.203838586807251, 4.253583908081055]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.29437658190727234, 0.36364656686782837, 0.3080270290374756, 0.3042686879634857, 0.3359832465648651, 0.2747950255870819], ""accuracy_micro"": [0.22368420660495758, 0.28947368264198303, 0.3684210479259491, 0.32894736528396606, 0.34210526943206787, 0.3684210479259491, 0.31578946113586426], ""hits_at_k"": [0.64000004529953, 0.734902024269104, 0.788554310798645, 0.6889127492904663, 0.6676648855209351, 0.7020321488380432, 0.6990374326705933], ""loss"": [1.5619784593582153, 1.5411919355392456, 1.6376088857650757, 1.6699563264846802, 2.5017778873443604, 2.914588212966919, 3.9327232837677], ""roc_auc"": [0.5622128248214722, 0.5548529624938965, 0.583693265914917, 0.5793278217315674, 0.6724369525909424, 0.6816251277923584, 0.6314147114753723]}, ""combined"": {""loss"": [1.5619784593582153, 1.5411919355392456, 1.6376088857650757, 1.6699563264846802, 2.5017778873443604, 2.914588212966919, 3.9327232837677]}}, ""evaluation_frequency"": {""frequency"": 1, ""period"": ""epoch""}}","{""label"": {""loss"": 1.779736042022705, ""roc_auc"": 0.5723251700401306, ""accuracy"": 0.25, ""accuracy_micro"": 0.28947368264198303, ""hits_at_k"": 0.7000000476837158, ""confusion_matrix"": [[6, 2, 0, 0, 0], [4, 0, 2, 0, 0], [5, 0, 5, 0, 0], [1, 0, 1, 0, 0], [7, 0, 5, 0, 0]], ""overall_stats"": {""token_accuracy"": 0.2894736842105263, ""avg_precision_macro"": 0.1290969899665552, ""avg_recall_macro"": 0.25, ""avg_f1_score_macro"": 0.1643758765778401, ""avg_precision_micro"": 0.2894736842105263, ""avg_recall_micro"": 0.2894736842105263, ""avg_f1_score_micro"": 0.2894736842105263, ""avg_precision_weighted"": 0.2894736842105263, ""avg_recall_weighted"": 0.2894736842105263, ""avg_f1_score_weighted"": 0.19591053369749759, ""kappa_score"": 0.08228980322003587}, ""per_class_stats"": {""oos"": {""true_positives"": 6, ""true_negatives"": 13, ""false_positives"": 17, ""false_negatives"": 2, ""true_positive_rate"": 0.75, ""true_negative_rate"": 0.43333333333333335, ""positive_predictive_value"": 0.2608695652173913, ""negative_predictive_value"": 0.8666666666666667, ""false_negative_rate"": 0.25, ""false_positive_rate"": 0.5666666666666667, ""false_discovery_rate"": 0.7391304347826086, ""false_omission_rate"": 0.1333333333333333, ""accuracy"": 0.5, ""precision"": 0.2608695652173913, ""recall"": 0.75, ""f1_score"": 0.3870967741935483, ""sensitivity"": 0.75, ""specificity"": 0.43333333333333335, ""hit_rate"": 0.75, ""miss_rate"": 0.25, ""fall_out"": 0.5666666666666667, ""matthews_correlation_coefficient"": 0.15291057030852148, ""informedness"": 0.18333333333333335, ""markedness"": 0.12753623188405805}, ""administrative_office_service"": {""true_positives"": 0, ""true_negatives"": 30, ""false_positives"": 2, ""false_negatives"": 6, ""true_positive_rate"": 0.0, ""true_negative_rate"": 0.9375, ""positive_predictive_value"": 0.0, ""negative_predictive_value"": 0.8333333333333334, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0625, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.16666666666666663, ""accuracy"": 0.7894736842105263, ""precision"": 0.0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 0.9375, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0625, ""matthews_correlation_coefficient"": -0.10206207261596575, ""informedness"": -0.0625, ""markedness"": -0.16666666666666663}, ""career_counseling_service"": {""true_positives"": 5, ""true_negatives"": 20, ""false_positives"": 8, ""false_negatives"": 5, ""true_positive_rate"": 0.5, ""true_negative_rate"": 0.7142857142857143, ""positive_predictive_value"": 0.38461538461538464, ""negative_predictive_value"": 0.8, ""false_negative_rate"": 0.5, ""false_positive_rate"": 0.2857142857142857, ""false_discovery_rate"": 0.6153846153846154, ""false_omission_rate"": 0.19999999999999996, ""accuracy"": 0.6578947368421053, ""precision"": 0.38461538461538464, ""recall"": 0.5, ""f1_score"": 0.4347826086956522, ""sensitivity"": 0.5, ""specificity"": 0.7142857142857143, ""hit_rate"": 0.5, ""miss_rate"": 0.5, ""fall_out"": 0.2857142857142857, ""matthews_correlation_coefficient"": 0.19889806323953874, ""informedness"": 0.2142857142857144, ""markedness"": 0.18461538461538463}, ""network_information_service"": {""true_positives"": 0, ""true_negatives"": 36, ""false_positives"": 0, ""false_negatives"": 2, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.9473684210526315, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.052631578947368474, ""accuracy"": 0.9473684210526315, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.052631578947368474}, ""education_management_service"": {""true_positives"": 0, ""true_negatives"": 26, ""false_positives"": 0, ""false_negatives"": 12, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.6842105263157895, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.3157894736842105, ""accuracy"": 0.6842105263157895, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.3157894736842105}}}, ""combined"": {""loss"": 1.779736042022705}}",141477fd,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_141477fd/,0.16398048400878906,,False,8,2026-04-15_14-36-08,1776234968,9.164673328399658,3591728,ubunto,202.113.76.55,9.164673328399658,8
