parameters,metric_score,training_stats,eval_stats,trial_id,trial_dir,time_this_iter_s,should_checkpoint,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21630851924419403], ""accuracy_micro"": [0.22846442461013794], ""hits_at_k"": [0.620319128036499], ""loss"": [3.1439950466156006], ""roc_auc"": [0.4869420528411865]}, ""combined"": {""loss"": [3.1439950466156006]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224], ""accuracy_micro"": [0.15789473056793213], ""hits_at_k"": [0.6000000238418579], ""loss"": [2.667447566986084], ""roc_auc"": [0.522821307182312]}, ""combined"": {""loss"": [2.667447566986084]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224], ""accuracy_micro"": [0.25], ""hits_at_k"": [0.6000000238418579], ""loss"": [2.0073273181915283], ""roc_auc"": [0.4965692460536957]}, ""combined"": {""loss"": [2.0073273181915283]}}}",{},883d7157,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_883d7157/,2.513823986053467,True,False,1,2026-04-15_14-36-45,1776235005,2.513823986053467,3594827,ubunto,202.113.76.55,2.513823986053467,1
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21630851924419403, 0.17055319249629974], ""accuracy_micro"": [0.22846442461013794, 0.1760299652814865], ""hits_at_k"": [0.620319128036499, 0.6161382794380188], ""loss"": [3.1439950466156006, 2.068681240081787], ""roc_auc"": [0.4869420528411865, 0.4851309657096863]}, ""combined"": {""loss"": [3.1439950466156006, 2.068681240081787]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.15789473056793213, 0.15789473056793213], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579], ""loss"": [2.667447566986084, 2.6573071479797363], ""roc_auc"": [0.522821307182312, 0.5166033506393433]}, ""combined"": {""loss"": [2.667447566986084, 2.6573071479797363]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.25, 0.25], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579], ""loss"": [2.0073273181915283, 2.454742670059204], ""roc_auc"": [0.4965692460536957, 0.5229274034500122]}, ""combined"": {""loss"": [2.0073273181915283, 2.454742670059204]}}}",{},883d7157,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_883d7157/,3.1898691654205322,True,False,2,2026-04-15_14-36-48,1776235008,5.703693151473999,3594827,ubunto,202.113.76.55,5.703693151473999,2
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21630851924419403, 0.17055319249629974, 0.19005319476127625], ""accuracy_micro"": [0.22846442461013794, 0.1760299652814865, 0.19475655257701874], ""hits_at_k"": [0.620319128036499, 0.6161382794380188, 0.5861489772796631], ""loss"": [3.1439950466156006, 2.068681240081787, 1.9445322751998901], ""roc_auc"": [0.4869420528411865, 0.4851309657096863, 0.48049888014793396]}, ""combined"": {""loss"": [3.1439950466156006, 2.068681240081787, 1.9445322751998901]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.15789473056793213, 0.15789473056793213, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [2.667447566986084, 2.6573071479797363, 1.7388010025024414], ""roc_auc"": [0.522821307182312, 0.5166033506393433, 0.5008432269096375]}, ""combined"": {""loss"": [2.667447566986084, 2.6573071479797363, 1.7388010025024414]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.25, 0.25, 0.22368420660495758], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [2.0073273181915283, 2.454742670059204, 1.8147960901260376], ""roc_auc"": [0.4965692460536957, 0.5229274034500122, 0.5165661573410034]}, ""combined"": {""loss"": [2.0073273181915283, 2.454742670059204, 1.8147960901260376]}}}",{},883d7157,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_883d7157/,0.17903351783752441,True,False,3,2026-04-15_14-36-49,1776235009,5.882726669311523,3594827,ubunto,202.113.76.55,5.882726669311523,3
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21630851924419403, 0.17055319249629974, 0.19005319476127625, 0.1905319094657898], ""accuracy_micro"": [0.22846442461013794, 0.1760299652814865, 0.19475655257701874, 0.20973782241344452], ""hits_at_k"": [0.620319128036499, 0.6161382794380188, 0.5861489772796631, 0.5975850820541382], ""loss"": [3.1439950466156006, 2.068681240081787, 1.9445322751998901, 1.868977665901184], ""roc_auc"": [0.4869420528411865, 0.4851309657096863, 0.48049888014793396, 0.4847072660923004]}, ""combined"": {""loss"": [3.1439950466156006, 2.068681240081787, 1.9445322751998901, 1.868977665901184]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.15789473056793213, 0.15789473056793213, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [2.667447566986084, 2.6573071479797363, 1.7388010025024414, 1.951441764831543], ""roc_auc"": [0.522821307182312, 0.5166033506393433, 0.5008432269096375, 0.5092796087265015]}, ""combined"": {""loss"": [2.667447566986084, 2.6573071479797363, 1.7388010025024414, 1.951441764831543]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.25, 0.25, 0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [2.0073273181915283, 2.454742670059204, 1.8147960901260376, 1.7247167825698853], ""roc_auc"": [0.4965692460536957, 0.5229274034500122, 0.5165661573410034, 0.5217720866203308]}, ""combined"": {""loss"": [2.0073273181915283, 2.454742670059204, 1.8147960901260376, 1.7247167825698853]}}}",{},883d7157,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_883d7157/,0.2053053379058838,True,False,4,2026-04-15_14-36-49,1776235009,6.088032007217407,3594827,ubunto,202.113.76.55,6.088032007217407,4
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21630851924419403, 0.17055319249629974, 0.19005319476127625, 0.1905319094657898, 0.1685638278722763], ""accuracy_micro"": [0.22846442461013794, 0.1760299652814865, 0.19475655257701874, 0.20973782241344452, 0.1910112351179123], ""hits_at_k"": [0.620319128036499, 0.6161382794380188, 0.5861489772796631, 0.5975850820541382, 0.5851170420646667], ""loss"": [3.1439950466156006, 2.068681240081787, 1.9445322751998901, 1.868977665901184, 1.930614948272705], ""roc_auc"": [0.4869420528411865, 0.4851309657096863, 0.48049888014793396, 0.4847072660923004, 0.48507481813430786]}, ""combined"": {""loss"": [3.1439950466156006, 2.068681240081787, 1.9445322751998901, 1.868977665901184, 1.930614948272705]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.15789473056793213, 0.15789473056793213, 0.21052631735801697, 0.21052631735801697, 0.2631579041481018], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [2.667447566986084, 2.6573071479797363, 1.7388010025024414, 1.951441764831543, 1.8511435985565186], ""roc_auc"": [0.522821307182312, 0.5166033506393433, 0.5008432269096375, 0.5092796087265015, 0.4660676121711731]}, ""combined"": {""loss"": [2.667447566986084, 2.6573071479797363, 1.7388010025024414, 1.951441764831543, 1.8511435985565186]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.25, 0.25, 0.22368420660495758, 0.22368420660495758, 0.14473684132099152], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [2.0073273181915283, 2.454742670059204, 1.8147960901260376, 1.7247167825698853, 1.6727757453918457], ""roc_auc"": [0.4965692460536957, 0.5229274034500122, 0.5165661573410034, 0.5217720866203308, 0.5050893425941467]}, ""combined"": {""loss"": [2.0073273181915283, 2.454742670059204, 1.8147960901260376, 1.7247167825698853, 1.6727757453918457]}}}",{},883d7157,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_883d7157/,0.16114497184753418,True,False,5,2026-04-15_14-36-49,1776235009,6.249176979064941,3594827,ubunto,202.113.76.55,6.249176979064941,5
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21630851924419403, 0.17055319249629974, 0.19005319476127625, 0.1905319094657898, 0.1685638278722763, 0.18855318427085876], ""accuracy_micro"": [0.22846442461013794, 0.1760299652814865, 0.19475655257701874, 0.20973782241344452, 0.1910112351179123, 0.20599250495433807], ""hits_at_k"": [0.620319128036499, 0.6161382794380188, 0.5861489772796631, 0.5975850820541382, 0.5851170420646667, 0.5818723440170288], ""loss"": [3.1439950466156006, 2.068681240081787, 1.9445322751998901, 1.868977665901184, 1.930614948272705, 1.6967132091522217], ""roc_auc"": [0.4869420528411865, 0.4851309657096863, 0.48049888014793396, 0.4847072660923004, 0.48507481813430786, 0.48162978887557983]}, ""combined"": {""loss"": [3.1439950466156006, 2.068681240081787, 1.9445322751998901, 1.868977665901184, 1.930614948272705, 1.6967132091522217]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.15789473056793213, 0.15789473056793213, 0.21052631735801697, 0.21052631735801697, 0.2631579041481018, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [2.667447566986084, 2.6573071479797363, 1.7388010025024414, 1.951441764831543, 1.8511435985565186, 2.414379596710205], ""roc_auc"": [0.522821307182312, 0.5166033506393433, 0.5008432269096375, 0.5092796087265015, 0.4660676121711731, 0.5114048719406128]}, ""combined"": {""loss"": [2.667447566986084, 2.6573071479797363, 1.7388010025024414, 1.951441764831543, 1.8511435985565186, 2.414379596710205]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.25, 0.25, 0.22368420660495758, 0.22368420660495758, 0.14473684132099152, 0.22368420660495758], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [2.0073273181915283, 2.454742670059204, 1.8147960901260376, 1.7247167825698853, 1.6727757453918457, 2.2531354427337646], ""roc_auc"": [0.4965692460536957, 0.5229274034500122, 0.5165661573410034, 0.5217720866203308, 0.5050893425941467, 0.5255059003829956]}, ""combined"": {""loss"": [2.0073273181915283, 2.454742670059204, 1.8147960901260376, 1.7247167825698853, 1.6727757453918457, 2.2531354427337646]}}}",{},883d7157,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_883d7157/,0.158707857131958,True,False,6,2026-04-15_14-36-49,1776235009,6.407884836196899,3594827,ubunto,202.113.76.55,6.407884836196899,6
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.21630851924419403, 0.17055319249629974, 0.19005319476127625, 0.1905319094657898, 0.1685638278722763, 0.18855318427085876], ""accuracy_micro"": [0.22846442461013794, 0.1760299652814865, 0.19475655257701874, 0.20973782241344452, 0.1910112351179123, 0.20599250495433807], ""hits_at_k"": [0.620319128036499, 0.6161382794380188, 0.5861489772796631, 0.5975850820541382, 0.5851170420646667, 0.5818723440170288], ""loss"": [3.1439950466156006, 2.068681240081787, 1.9445322751998901, 1.868977665901184, 1.930614948272705, 1.6967132091522217], ""roc_auc"": [0.4869420528411865, 0.4851309657096863, 0.48049888014793396, 0.4847072660923004, 0.48507481813430786, 0.48162978887557983]}, ""combined"": {""loss"": [3.1439950466156006, 2.068681240081787, 1.9445322751998901, 1.868977665901184, 1.930614948272705, 1.6967132091522217]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.15789473056793213, 0.15789473056793213, 0.21052631735801697, 0.21052631735801697, 0.2631579041481018, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [2.667447566986084, 2.6573071479797363, 1.7388010025024414, 1.951441764831543, 1.8511435985565186, 2.414379596710205], ""roc_auc"": [0.522821307182312, 0.5166033506393433, 0.5008432269096375, 0.5092796087265015, 0.4660676121711731, 0.5114048719406128]}, ""combined"": {""loss"": [2.667447566986084, 2.6573071479797363, 1.7388010025024414, 1.951441764831543, 1.8511435985565186, 2.414379596710205]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.25, 0.25, 0.22368420660495758, 0.22368420660495758, 0.14473684132099152, 0.22368420660495758], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [2.0073273181915283, 2.454742670059204, 1.8147960901260376, 1.7247167825698853, 1.6727757453918457, 2.2531354427337646], ""roc_auc"": [0.4965692460536957, 0.5229274034500122, 0.5165661573410034, 0.5217720866203308, 0.5050893425941467, 0.5255059003829956]}, ""combined"": {""loss"": [2.0073273181915283, 2.454742670059204, 1.8147960901260376, 1.7247167825698853, 1.6727757453918457, 2.2531354427337646]}}, ""evaluation_frequency"": {""frequency"": 1, ""period"": ""epoch""}}","{""label"": {""loss"": 2.667447566986084, ""roc_auc"": 0.522821307182312, ""accuracy"": 0.20000000298023224, ""accuracy_micro"": 0.15789473056793213, ""hits_at_k"": 0.6000000238418579, ""confusion_matrix"": [[0, 8, 0, 0, 0], [0, 6, 0, 0, 0], [0, 10, 0, 0, 0], [0, 2, 0, 0, 0], [0, 12, 0, 0, 0]], ""overall_stats"": {""token_accuracy"": 0.15789473684210525, ""avg_precision_macro"": 0.031578947368421054, ""avg_recall_macro"": 0.2, ""avg_f1_score_macro"": 0.05454545454545454, ""avg_precision_micro"": 0.15789473684210525, ""avg_recall_micro"": 0.15789473684210525, ""avg_f1_score_micro"": 0.15789473684210525, ""avg_precision_weighted"": 0.15789473684210525, ""avg_recall_weighted"": 0.15789473684210525, ""avg_f1_score_weighted"": 0.043062200956937795, ""kappa_score"": 0.0}, ""per_class_stats"": {""oos"": {""true_positives"": 0, ""true_negatives"": 30, ""false_positives"": 0, ""false_negatives"": 8, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.7894736842105263, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.21052631578947367, ""accuracy"": 0.7894736842105263, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.21052631578947367}, ""administrative_office_service"": {""true_positives"": 6, ""true_negatives"": 0, ""false_positives"": 32, ""false_negatives"": 0, ""true_positive_rate"": 1.0, ""true_negative_rate"": 0.0, ""positive_predictive_value"": 0.15789473684210525, ""negative_predictive_value"": 0, ""false_negative_rate"": 0.0, ""false_positive_rate"": 1.0, ""false_discovery_rate"": 0.8421052631578947, ""false_omission_rate"": 1.0, ""accuracy"": 0.15789473684210525, ""precision"": 0.15789473684210525, ""recall"": 1.0, ""f1_score"": 0.2727272727272727, ""sensitivity"": 1.0, ""specificity"": 0.0, ""hit_rate"": 1.0, ""miss_rate"": 0.0, ""fall_out"": 1.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.8421052631578947}, ""career_counseling_service"": {""true_positives"": 0, ""true_negatives"": 28, ""false_positives"": 0, ""false_negatives"": 10, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.7368421052631579, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.26315789473684215, ""accuracy"": 0.7368421052631579, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.26315789473684215}, ""network_information_service"": {""true_positives"": 0, ""true_negatives"": 36, ""false_positives"": 0, ""false_negatives"": 2, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.9473684210526315, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.052631578947368474, ""accuracy"": 0.9473684210526315, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.052631578947368474}, ""education_management_service"": {""true_positives"": 0, ""true_negatives"": 26, ""false_positives"": 0, ""false_negatives"": 12, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.6842105263157895, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.3157894736842105, ""accuracy"": 0.6842105263157895, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.3157894736842105}}}, ""combined"": {""loss"": 2.667447566986084}}",883d7157,/home/yhz/local_iot/banckend/storage/trained_models/latest/Vanilla-RNN_Hyperopt/hyperopt/trial_883d7157/,0.08929824829101562,,False,7,2026-04-15_14-36-49,1776235009,6.497183084487915,3594827,ubunto,202.113.76.55,6.497183084487915,7
