parameters,metric_score,training_stats,eval_stats,trial_id,trial_dir,time_this_iter_s,should_checkpoint,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.23808510601520538], ""accuracy_micro"": [0.23970037698745728], ""hits_at_k"": [0.607925534248352], ""loss"": [16.955764770507812], ""roc_auc"": [0.5325824022293091]}, ""combined"": {""loss"": [16.955764770507812]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224], ""accuracy_micro"": [0.2631579041481018], ""hits_at_k"": [0.6000000238418579], ""loss"": [5.631260395050049], ""roc_auc"": [0.6087950468063354]}, ""combined"": {""loss"": [5.631260395050049]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224], ""accuracy_micro"": [0.14473684132099152], ""hits_at_k"": [0.6000000238418579], ""loss"": [10.213951110839844], ""roc_auc"": [0.5744306445121765]}, ""combined"": {""loss"": [10.213951110839844]}}}",{},e85fcdf8,/home/yhz/local_iot/banckend/storage/trained_models/latest/FastText-Embed_Hyperopt/hyperopt/trial_e85fcdf8/,2.4417996406555176,True,False,1,2026-04-15_14-37-17,1776235037,2.4417996406555176,3597183,ubunto,202.113.76.55,2.4417996406555176,1
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.23808510601520538, 0.2208085060119629], ""accuracy_micro"": [0.23970037698745728, 0.23970037698745728], ""hits_at_k"": [0.607925534248352, 0.6243616938591003], ""loss"": [16.955764770507812, 6.538043022155762], ""roc_auc"": [0.5325824022293091, 0.5603493452072144]}, ""combined"": {""loss"": [16.955764770507812, 6.538043022155762]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.2631579041481018, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.5600000023841858], ""loss"": [5.631260395050049, 6.269490718841553], ""roc_auc"": [0.6087950468063354, 0.6002305150032043]}, ""combined"": {""loss"": [5.631260395050049, 6.269490718841553]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.21490196883678436], ""accuracy_micro"": [0.14473684132099152, 0.2368421107530594], ""hits_at_k"": [0.6000000238418579, 0.6604329347610474], ""loss"": [10.213951110839844, 5.58653450012207], ""roc_auc"": [0.5744306445121765, 0.594007134437561]}, ""combined"": {""loss"": [10.213951110839844, 5.58653450012207]}}}",{},e85fcdf8,/home/yhz/local_iot/banckend/storage/trained_models/latest/FastText-Embed_Hyperopt/hyperopt/trial_e85fcdf8/,3.171330213546753,True,False,2,2026-04-15_14-37-21,1776235041,5.6131298542022705,3597183,ubunto,202.113.76.55,5.6131298542022705,2
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.24166665971279144,"{""training"": {""label"": {""accuracy"": [0.23808510601520538, 0.2208085060119629, 0.3530638515949249], ""accuracy_micro"": [0.23970037698745728, 0.23970037698745728, 0.3745318353176117], ""hits_at_k"": [0.607925534248352, 0.6243616938591003, 0.7616276144981384], ""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793], ""roc_auc"": [0.5325824022293091, 0.5603493452072144, 0.6841706037521362]}, ""combined"": {""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.24166665971279144], ""accuracy_micro"": [0.2631579041481018, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.5600000023841858, 0.6000000238418579], ""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375], ""roc_auc"": [0.6087950468063354, 0.6002305150032043, 0.6108943223953247]}, ""combined"": {""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.21490196883678436, 0.278510183095932], ""accuracy_micro"": [0.14473684132099152, 0.2368421107530594, 0.31578946113586426], ""hits_at_k"": [0.6000000238418579, 0.6604329347610474, 0.6266666650772095], ""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125], ""roc_auc"": [0.5744306445121765, 0.594007134437561, 0.6134093999862671]}, ""combined"": {""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125]}}}",{},e85fcdf8,/home/yhz/local_iot/banckend/storage/trained_models/latest/FastText-Embed_Hyperopt/hyperopt/trial_e85fcdf8/,0.1067800521850586,True,False,3,2026-04-15_14-37-21,1776235041,5.719909906387329,3597183,ubunto,202.113.76.55,5.719909906387329,3
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.24166665971279144,"{""training"": {""label"": {""accuracy"": [0.23808510601520538, 0.2208085060119629, 0.3530638515949249, 0.4618510603904724], ""accuracy_micro"": [0.23970037698745728, 0.23970037698745728, 0.3745318353176117, 0.47940075397491455], ""hits_at_k"": [0.607925534248352, 0.6243616938591003, 0.7616276144981384, 0.8362446427345276], ""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484], ""roc_auc"": [0.5325824022293091, 0.5603493452072144, 0.6841706037521362, 0.7444528937339783]}, ""combined"": {""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.24166665971279144, 0.20000000298023224], ""accuracy_micro"": [0.2631579041481018, 0.21052631735801697, 0.21052631735801697, 0.15789473056793213], ""hits_at_k"": [0.6000000238418579, 0.5600000023841858, 0.6000000238418579, 0.6083333492279053], ""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762], ""roc_auc"": [0.6087950468063354, 0.6002305150032043, 0.6108943223953247, 0.6233455538749695]}, ""combined"": {""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.21490196883678436, 0.278510183095932, 0.27843138575553894], ""accuracy_micro"": [0.14473684132099152, 0.2368421107530594, 0.31578946113586426, 0.32894736528396606], ""hits_at_k"": [0.6000000238418579, 0.6604329347610474, 0.6266666650772095, 0.6951872110366821], ""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703], ""roc_auc"": [0.5744306445121765, 0.594007134437561, 0.6134093999862671, 0.6623560786247253]}, ""combined"": {""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703]}}}",{},e85fcdf8,/home/yhz/local_iot/banckend/storage/trained_models/latest/FastText-Embed_Hyperopt/hyperopt/trial_e85fcdf8/,0.12641549110412598,True,False,4,2026-04-15_14-37-21,1776235041,5.846325397491455,3597183,ubunto,202.113.76.55,5.846325397491455,4
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.24166665971279144,"{""training"": {""label"": {""accuracy"": [0.23808510601520538, 0.2208085060119629, 0.3530638515949249, 0.4618510603904724, 0.5266382694244385], ""accuracy_micro"": [0.23970037698745728, 0.23970037698745728, 0.3745318353176117, 0.47940075397491455, 0.5280898809432983], ""hits_at_k"": [0.607925534248352, 0.6243616938591003, 0.7616276144981384, 0.8362446427345276, 0.8367339968681335], ""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484, 2.304802656173706], ""roc_auc"": [0.5325824022293091, 0.5603493452072144, 0.6841706037521362, 0.7444528937339783, 0.808566689491272]}, ""combined"": {""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484, 2.304802656173706]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.24166665971279144, 0.20000000298023224, 0.23333333432674408], ""accuracy_micro"": [0.2631579041481018, 0.21052631735801697, 0.21052631735801697, 0.15789473056793213, 0.28947368264198303], ""hits_at_k"": [0.6000000238418579, 0.5600000023841858, 0.6000000238418579, 0.6083333492279053, 0.7866666316986084], ""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762, 2.574028253555298], ""roc_auc"": [0.6087950468063354, 0.6002305150032043, 0.6108943223953247, 0.6233455538749695, 0.5536973476409912]}, ""combined"": {""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762, 2.574028253555298]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.21490196883678436, 0.278510183095932, 0.27843138575553894, 0.30831602215766907], ""accuracy_micro"": [0.14473684132099152, 0.2368421107530594, 0.31578946113586426, 0.32894736528396606, 0.31578946113586426], ""hits_at_k"": [0.6000000238418579, 0.6604329347610474, 0.6266666650772095, 0.6951872110366821, 0.7607393264770508], ""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703, 2.6445930004119873], ""roc_auc"": [0.5744306445121765, 0.594007134437561, 0.6134093999862671, 0.6623560786247253, 0.644591212272644]}, ""combined"": {""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703, 2.6445930004119873]}}}",{},e85fcdf8,/home/yhz/local_iot/banckend/storage/trained_models/latest/FastText-Embed_Hyperopt/hyperopt/trial_e85fcdf8/,0.06795072555541992,True,False,5,2026-04-15_14-37-21,1776235041,5.914276123046875,3597183,ubunto,202.113.76.55,5.914276123046875,5
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.24166665971279144,"{""training"": {""label"": {""accuracy"": [0.23808510601520538, 0.2208085060119629, 0.3530638515949249, 0.4618510603904724, 0.5266382694244385, 0.6201063990592957], ""accuracy_micro"": [0.23970037698745728, 0.23970037698745728, 0.3745318353176117, 0.47940075397491455, 0.5280898809432983, 0.63670414686203], ""hits_at_k"": [0.607925534248352, 0.6243616938591003, 0.7616276144981384, 0.8362446427345276, 0.8367339968681335, 0.9234787225723267], ""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484, 2.304802656173706, 1.4264062643051147], ""roc_auc"": [0.5325824022293091, 0.5603493452072144, 0.6841706037521362, 0.7444528937339783, 0.808566689491272, 0.8879928588867188]}, ""combined"": {""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484, 2.304802656173706, 1.4264062643051147]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.24166665971279144, 0.20000000298023224, 0.23333333432674408, 0.21833334863185883], ""accuracy_micro"": [0.2631579041481018, 0.21052631735801697, 0.21052631735801697, 0.15789473056793213, 0.28947368264198303, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.5600000023841858, 0.6000000238418579, 0.6083333492279053, 0.7866666316986084, 0.6083333492279053], ""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762, 2.574028253555298, 2.585557460784912], ""roc_auc"": [0.6087950468063354, 0.6002305150032043, 0.6108943223953247, 0.6233455538749695, 0.5536973476409912, 0.6136530637741089]}, ""combined"": {""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762, 2.574028253555298, 2.585557460784912]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.21490196883678436, 0.278510183095932, 0.27843138575553894, 0.30831602215766907, 0.3082878291606903], ""accuracy_micro"": [0.14473684132099152, 0.2368421107530594, 0.31578946113586426, 0.32894736528396606, 0.31578946113586426, 0.32894736528396606], ""hits_at_k"": [0.6000000238418579, 0.6604329347610474, 0.6266666650772095, 0.6951872110366821, 0.7607393264770508, 0.7372549176216125], ""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703, 2.6445930004119873, 2.476210832595825], ""roc_auc"": [0.5744306445121765, 0.594007134437561, 0.6134093999862671, 0.6623560786247253, 0.644591212272644, 0.6493814587593079]}, ""combined"": {""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703, 2.6445930004119873, 2.476210832595825]}}}",{},e85fcdf8,/home/yhz/local_iot/banckend/storage/trained_models/latest/FastText-Embed_Hyperopt/hyperopt/trial_e85fcdf8/,0.0669243335723877,True,False,6,2026-04-15_14-37-21,1776235041,5.981200456619263,3597183,ubunto,202.113.76.55,5.981200456619263,6
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.24166665971279144,"{""training"": {""label"": {""accuracy"": [0.23808510601520538, 0.2208085060119629, 0.3530638515949249, 0.4618510603904724, 0.5266382694244385, 0.6201063990592957, 0.6991702318191528], ""accuracy_micro"": [0.23970037698745728, 0.23970037698745728, 0.3745318353176117, 0.47940075397491455, 0.5280898809432983, 0.63670414686203, 0.704119861125946], ""hits_at_k"": [0.607925534248352, 0.6243616938591003, 0.7616276144981384, 0.8362446427345276, 0.8367339968681335, 0.9234787225723267, 0.931734025478363], ""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484, 2.304802656173706, 1.4264062643051147, 1.0745850801467896], ""roc_auc"": [0.5325824022293091, 0.5603493452072144, 0.6841706037521362, 0.7444528937339783, 0.808566689491272, 0.8879928588867188, 0.917384922504425]}, ""combined"": {""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484, 2.304802656173706, 1.4264062643051147, 1.0745850801467896]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.24166665971279144, 0.20000000298023224, 0.23333333432674408, 0.21833334863185883, 0.21166665852069855], ""accuracy_micro"": [0.2631579041481018, 0.21052631735801697, 0.21052631735801697, 0.15789473056793213, 0.28947368264198303, 0.21052631735801697, 0.18421052396297455], ""hits_at_k"": [0.6000000238418579, 0.5600000023841858, 0.6000000238418579, 0.6083333492279053, 0.7866666316986084, 0.6083333492279053, 0.625], ""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762, 2.574028253555298, 2.585557460784912, 3.616379976272583], ""roc_auc"": [0.6087950468063354, 0.6002305150032043, 0.6108943223953247, 0.6233455538749695, 0.5536973476409912, 0.6136530637741089, 0.6192033290863037]}, ""combined"": {""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762, 2.574028253555298, 2.585557460784912, 3.616379976272583]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.21490196883678436, 0.278510183095932, 0.27843138575553894, 0.30831602215766907, 0.3082878291606903, 0.29782530665397644], ""accuracy_micro"": [0.14473684132099152, 0.2368421107530594, 0.31578946113586426, 0.32894736528396606, 0.31578946113586426, 0.32894736528396606, 0.32894736528396606], ""hits_at_k"": [0.6000000238418579, 0.6604329347610474, 0.6266666650772095, 0.6951872110366821, 0.7607393264770508, 0.7372549176216125, 0.7047058939933777], ""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703, 2.6445930004119873, 2.476210832595825, 3.4789419174194336], ""roc_auc"": [0.5744306445121765, 0.594007134437561, 0.6134093999862671, 0.6623560786247253, 0.644591212272644, 0.6493814587593079, 0.6539610028266907]}, ""combined"": {""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703, 2.6445930004119873, 2.476210832595825, 3.4789419174194336]}}}",{},e85fcdf8,/home/yhz/local_iot/banckend/storage/trained_models/latest/FastText-Embed_Hyperopt/hyperopt/trial_e85fcdf8/,0.06827354431152344,True,False,7,2026-04-15_14-37-21,1776235041,6.049474000930786,3597183,ubunto,202.113.76.55,6.049474000930786,7
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.27000001072883606,"{""training"": {""label"": {""accuracy"": [0.23808510601520538, 0.2208085060119629, 0.3530638515949249, 0.4618510603904724, 0.5266382694244385, 0.6201063990592957, 0.6991702318191528, 0.6354042291641235], ""accuracy_micro"": [0.23970037698745728, 0.23970037698745728, 0.3745318353176117, 0.47940075397491455, 0.5280898809432983, 0.63670414686203, 0.704119861125946, 0.63670414686203], ""hits_at_k"": [0.607925534248352, 0.6243616938591003, 0.7616276144981384, 0.8362446427345276, 0.8367339968681335, 0.9234787225723267, 0.931734025478363, 0.9510000348091125], ""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484, 2.304802656173706, 1.4264062643051147, 1.0745850801467896, 1.7041980028152466], ""roc_auc"": [0.5325824022293091, 0.5603493452072144, 0.6841706037521362, 0.7444528937339783, 0.808566689491272, 0.8879928588867188, 0.917384922504425, 0.8811982870101929]}, ""combined"": {""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484, 2.304802656173706, 1.4264062643051147, 1.0745850801467896, 1.7041980028152466]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.24166665971279144, 0.20000000298023224, 0.23333333432674408, 0.21833334863185883, 0.21166665852069855, 0.27000001072883606], ""accuracy_micro"": [0.2631579041481018, 0.21052631735801697, 0.21052631735801697, 0.15789473056793213, 0.28947368264198303, 0.21052631735801697, 0.18421052396297455, 0.31578946113586426], ""hits_at_k"": [0.6000000238418579, 0.5600000023841858, 0.6000000238418579, 0.6083333492279053, 0.7866666316986084, 0.6083333492279053, 0.625, 0.5916666388511658], ""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762, 2.574028253555298, 2.585557460784912, 3.616379976272583, 3.3734707832336426], ""roc_auc"": [0.6087950468063354, 0.6002305150032043, 0.6108943223953247, 0.6233455538749695, 0.5536973476409912, 0.6136530637741089, 0.6192033290863037, 0.5653861165046692]}, ""combined"": {""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762, 2.574028253555298, 2.585557460784912, 3.616379976272583, 3.3734707832336426]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.21490196883678436, 0.278510183095932, 0.27843138575553894, 0.30831602215766907, 0.3082878291606903, 0.29782530665397644, 0.2623623311519623], ""accuracy_micro"": [0.14473684132099152, 0.2368421107530594, 0.31578946113586426, 0.32894736528396606, 0.31578946113586426, 0.32894736528396606, 0.32894736528396606, 0.25], ""hits_at_k"": [0.6000000238418579, 0.6604329347610474, 0.6266666650772095, 0.6951872110366821, 0.7607393264770508, 0.7372549176216125, 0.7047058939933777, 0.6829220056533813], ""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703, 2.6445930004119873, 2.476210832595825, 3.4789419174194336, 3.677671432495117], ""roc_auc"": [0.5744306445121765, 0.594007134437561, 0.6134093999862671, 0.6623560786247253, 0.644591212272644, 0.6493814587593079, 0.6539610028266907, 0.6151189804077148]}, ""combined"": {""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703, 2.6445930004119873, 2.476210832595825, 3.4789419174194336, 3.677671432495117]}}}",{},e85fcdf8,/home/yhz/local_iot/banckend/storage/trained_models/latest/FastText-Embed_Hyperopt/hyperopt/trial_e85fcdf8/,0.06963300704956055,True,False,8,2026-04-15_14-37-21,1776235041,6.119107007980347,3597183,ubunto,202.113.76.55,6.119107007980347,8
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.27000001072883606,"{""training"": {""label"": {""accuracy"": [0.23808510601520538, 0.2208085060119629, 0.3530638515949249, 0.4618510603904724, 0.5266382694244385, 0.6201063990592957, 0.6991702318191528, 0.6354042291641235, 0.7776914834976196], ""accuracy_micro"": [0.23970037698745728, 0.23970037698745728, 0.3745318353176117, 0.47940075397491455, 0.5280898809432983, 0.63670414686203, 0.704119861125946, 0.63670414686203, 0.7902621626853943], ""hits_at_k"": [0.607925534248352, 0.6243616938591003, 0.7616276144981384, 0.8362446427345276, 0.8367339968681335, 0.9234787225723267, 0.931734025478363, 0.9510000348091125, 0.9564893245697021], ""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484, 2.304802656173706, 1.4264062643051147, 1.0745850801467896, 1.7041980028152466, 0.8204404711723328], ""roc_auc"": [0.5325824022293091, 0.5603493452072144, 0.6841706037521362, 0.7444528937339783, 0.808566689491272, 0.8879928588867188, 0.917384922504425, 0.8811982870101929, 0.9488517642021179]}, ""combined"": {""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484, 2.304802656173706, 1.4264062643051147, 1.0745850801467896, 1.7041980028152466, 0.8204404711723328]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.24166665971279144, 0.20000000298023224, 0.23333333432674408, 0.21833334863185883, 0.21166665852069855, 0.27000001072883606, 0.23666664958000183], ""accuracy_micro"": [0.2631579041481018, 0.21052631735801697, 0.21052631735801697, 0.15789473056793213, 0.28947368264198303, 0.21052631735801697, 0.18421052396297455, 0.31578946113586426, 0.34210526943206787], ""hits_at_k"": [0.6000000238418579, 0.5600000023841858, 0.6000000238418579, 0.6083333492279053, 0.7866666316986084, 0.6083333492279053, 0.625, 0.5916666388511658, 0.6700000166893005], ""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762, 2.574028253555298, 2.585557460784912, 3.616379976272583, 3.3734707832336426, 2.340935230255127], ""roc_auc"": [0.6087950468063354, 0.6002305150032043, 0.6108943223953247, 0.6233455538749695, 0.5536973476409912, 0.6136530637741089, 0.6192033290863037, 0.5653861165046692, 0.5209417343139648]}, ""combined"": {""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762, 2.574028253555298, 2.585557460784912, 3.616379976272583, 3.3734707832336426, 2.340935230255127]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.21490196883678436, 0.278510183095932, 0.27843138575553894, 0.30831602215766907, 0.3082878291606903, 0.29782530665397644, 0.2623623311519623, 0.2876487672328949], ""accuracy_micro"": [0.14473684132099152, 0.2368421107530594, 0.31578946113586426, 0.32894736528396606, 0.31578946113586426, 0.32894736528396606, 0.32894736528396606, 0.25, 0.2631579041481018], ""hits_at_k"": [0.6000000238418579, 0.6604329347610474, 0.6266666650772095, 0.6951872110366821, 0.7607393264770508, 0.7372549176216125, 0.7047058939933777, 0.6829220056533813, 0.7704100012779236], ""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703, 2.6445930004119873, 2.476210832595825, 3.4789419174194336, 3.677671432495117, 2.81732177734375], ""roc_auc"": [0.5744306445121765, 0.594007134437561, 0.6134093999862671, 0.6623560786247253, 0.644591212272644, 0.6493814587593079, 0.6539610028266907, 0.6151189804077148, 0.6450297832489014]}, ""combined"": {""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703, 2.6445930004119873, 2.476210832595825, 3.4789419174194336, 3.677671432495117, 2.81732177734375]}}}",{},e85fcdf8,/home/yhz/local_iot/banckend/storage/trained_models/latest/FastText-Embed_Hyperopt/hyperopt/trial_e85fcdf8/,0.06616592407226562,True,False,9,2026-04-15_14-37-21,1776235041,6.185272932052612,3597183,ubunto,202.113.76.55,6.185272932052612,9
"{""trainer.learning_rate"": 0.01, ""trainer.batch_size"": 16, ""input_features.text.encoder.dropout"": 0.2828614473527921}",0.27000001072883606,"{""training"": {""label"": {""accuracy"": [0.23808510601520538, 0.2208085060119629, 0.3530638515949249, 0.4618510603904724, 0.5266382694244385, 0.6201063990592957, 0.6991702318191528, 0.6354042291641235, 0.7776914834976196, 0.819468080997467], ""accuracy_micro"": [0.23970037698745728, 0.23970037698745728, 0.3745318353176117, 0.47940075397491455, 0.5280898809432983, 0.63670414686203, 0.704119861125946, 0.63670414686203, 0.7902621626853943, 0.8314606547355652], ""hits_at_k"": [0.607925534248352, 0.6243616938591003, 0.7616276144981384, 0.8362446427345276, 0.8367339968681335, 0.9234787225723267, 0.931734025478363, 0.9510000348091125, 0.9564893245697021, 0.9605000019073486], ""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484, 2.304802656173706, 1.4264062643051147, 1.0745850801467896, 1.7041980028152466, 0.8204404711723328, 0.6806913018226624], ""roc_auc"": [0.5325824022293091, 0.5603493452072144, 0.6841706037521362, 0.7444528937339783, 0.808566689491272, 0.8879928588867188, 0.917384922504425, 0.8811982870101929, 0.9488517642021179, 0.9642683267593384]}, ""combined"": {""loss"": [16.955764770507812, 6.538043022155762, 3.3270106315612793, 2.5597591400146484, 2.304802656173706, 1.4264062643051147, 1.0745850801467896, 1.7041980028152466, 0.8204404711723328, 0.6806913018226624]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.24166665971279144, 0.20000000298023224, 0.23333333432674408, 0.21833334863185883, 0.21166665852069855, 0.27000001072883606, 0.23666664958000183, 0.23333333432674408], ""accuracy_micro"": [0.2631579041481018, 0.21052631735801697, 0.21052631735801697, 0.15789473056793213, 0.28947368264198303, 0.21052631735801697, 0.18421052396297455, 0.31578946113586426, 0.34210526943206787, 0.28947368264198303], ""hits_at_k"": [0.6000000238418579, 0.5600000023841858, 0.6000000238418579, 0.6083333492279053, 0.7866666316986084, 0.6083333492279053, 0.625, 0.5916666388511658, 0.6700000166893005, 0.6266666650772095], ""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762, 2.574028253555298, 2.585557460784912, 3.616379976272583, 3.3734707832336426, 2.340935230255127, 3.4160454273223877], ""roc_auc"": [0.6087950468063354, 0.6002305150032043, 0.6108943223953247, 0.6233455538749695, 0.5536973476409912, 0.6136530637741089, 0.6192033290863037, 0.5653861165046692, 0.5209417343139648, 0.5839232206344604]}, ""combined"": {""loss"": [5.631260395050049, 6.269490718841553, 4.51019287109375, 4.456011772155762, 2.574028253555298, 2.585557460784912, 3.616379976272583, 3.3734707832336426, 2.340935230255127, 3.4160454273223877]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.21490196883678436, 0.278510183095932, 0.27843138575553894, 0.30831602215766907, 0.3082878291606903, 0.29782530665397644, 0.2623623311519623, 0.2876487672328949, 0.2816493511199951], ""accuracy_micro"": [0.14473684132099152, 0.2368421107530594, 0.31578946113586426, 0.32894736528396606, 0.31578946113586426, 0.32894736528396606, 0.32894736528396606, 0.25, 0.2631579041481018, 0.28947368264198303], ""hits_at_k"": [0.6000000238418579, 0.6604329347610474, 0.6266666650772095, 0.6951872110366821, 0.7607393264770508, 0.7372549176216125, 0.7047058939933777, 0.6829220056533813, 0.7704100012779236, 0.7127273082733154], ""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703, 2.6445930004119873, 2.476210832595825, 3.4789419174194336, 3.677671432495117, 2.81732177734375, 4.355461120605469], ""roc_auc"": [0.5744306445121765, 0.594007134437561, 0.6134093999862671, 0.6623560786247253, 0.644591212272644, 0.6493814587593079, 0.6539610028266907, 0.6151189804077148, 0.6450297832489014, 0.6374983191490173]}, ""combined"": {""loss"": [10.213951110839844, 5.58653450012207, 3.898223876953125, 3.3991565704345703, 2.6445930004119873, 2.476210832595825, 3.4789419174194336, 3.677671432495117, 2.81732177734375, 4.355461120605469]}}}",{},e85fcdf8,/home/yhz/local_iot/banckend/storage/trained_models/latest/FastText-Embed_Hyperopt/hyperopt/trial_e85fcdf8/,0.06593561172485352,True,False,10,2026-04-15_14-37-21,1776235041,6.251208543777466,3597183,ubunto,202.113.76.55,6.251208543777466,10
