parameters,metric_score,training_stats,eval_stats,trial_id,trial_dir,time_this_iter_s,should_checkpoint,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.2199999988079071], ""accuracy_micro"": [0.2846441864967346], ""hits_at_k"": [0.5989999771118164], ""loss"": [1.575110912322998], ""roc_auc"": [0.5006211996078491]}, ""combined"": {""loss"": [1.575110912322998]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224], ""accuracy_micro"": [0.21052631735801697], ""hits_at_k"": [0.6000000238418579], ""loss"": [1.7394670248031616], ""roc_auc"": [0.5915945768356323]}, ""combined"": {""loss"": [1.7394670248031616]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224], ""accuracy_micro"": [0.22368420660495758], ""hits_at_k"": [0.6266666650772095], ""loss"": [1.6357667446136475], ""roc_auc"": [0.5541466474533081]}, ""combined"": {""loss"": [1.6357667446136475]}}}",{},5a219c67,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_5a219c67/,2.2447049617767334,True,False,1,2026-04-15_14-36-23,1776234983,2.2447049617767334,3593237,ubunto,202.113.76.55,2.2447049617767334,1
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.2199999988079071, 0.20000000298023224], ""accuracy_micro"": [0.2846441864967346, 0.2996254563331604], ""hits_at_k"": [0.5989999771118164, 0.5839999914169312], ""loss"": [1.575110912322998, 1.6037508249282837], ""roc_auc"": [0.5006211996078491, 0.481433629989624]}, ""combined"": {""loss"": [1.575110912322998, 1.6037508249282837]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579], ""loss"": [1.7394670248031616, 1.7013959884643555], ""roc_auc"": [0.5915945768356323, 0.6134943962097168]}, ""combined"": {""loss"": [1.7394670248031616, 1.7013959884643555]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6266666650772095, 0.6000000238418579], ""loss"": [1.6357667446136475, 1.5833625793457031], ""roc_auc"": [0.5541466474533081, 0.5619817972183228]}, ""combined"": {""loss"": [1.6357667446136475, 1.5833625793457031]}}}",{},5a219c67,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_5a219c67/,0.42363643646240234,True,False,2,2026-04-15_14-36-23,1776234983,2.6683413982391357,3593237,ubunto,202.113.76.55,2.6683413982391357,2
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.2199999988079071, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.2846441864967346, 0.2996254563331604, 0.2996254563331604], ""hits_at_k"": [0.5989999771118164, 0.5839999914169312, 0.6040000319480896], ""loss"": [1.575110912322998, 1.6037508249282837, 1.5859472751617432], ""roc_auc"": [0.5006211996078491, 0.481433629989624, 0.4736659526824951]}, ""combined"": {""loss"": [1.575110912322998, 1.6037508249282837, 1.5859472751617432]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [1.7394670248031616, 1.7013959884643555, 1.6731481552124023], ""roc_auc"": [0.5915945768356323, 0.6134943962097168, 0.6194490194320679]}, ""combined"": {""loss"": [1.7394670248031616, 1.7013959884643555, 1.6731481552124023]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.22368420660495758, 0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6266666650772095, 0.6000000238418579, 0.6133333444595337], ""loss"": [1.6357667446136475, 1.5833625793457031, 1.6023504734039307], ""roc_auc"": [0.5541466474533081, 0.5619817972183228, 0.5713215470314026]}, ""combined"": {""loss"": [1.6357667446136475, 1.5833625793457031, 1.6023504734039307]}}}",{},5a219c67,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_5a219c67/,0.43371057510375977,True,False,3,2026-04-15_14-36-24,1776234984,3.1020519733428955,3593237,ubunto,202.113.76.55,3.1020519733428955,3
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.2199999988079071, 0.20000000298023224, 0.20000000298023224, 0.20799998939037323], ""accuracy_micro"": [0.2846441864967346, 0.2996254563331604, 0.2996254563331604, 0.3071160912513733], ""hits_at_k"": [0.5989999771118164, 0.5839999914169312, 0.6040000319480896, 0.6040000319480896], ""loss"": [1.575110912322998, 1.6037508249282837, 1.5859472751617432, 1.5969455242156982], ""roc_auc"": [0.5006211996078491, 0.481433629989624, 0.4736659526824951, 0.5350083112716675]}, ""combined"": {""loss"": [1.575110912322998, 1.6037508249282837, 1.5859472751617432, 1.5969455242156982]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [1.7394670248031616, 1.7013959884643555, 1.6731481552124023, 1.6261237859725952], ""roc_auc"": [0.5915945768356323, 0.6134943962097168, 0.6194490194320679, 0.6186889410018921]}, ""combined"": {""loss"": [1.7394670248031616, 1.7013959884643555, 1.6731481552124023, 1.6261237859725952]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6266666650772095, 0.6000000238418579, 0.6133333444595337, 0.6133333444595337], ""loss"": [1.6357667446136475, 1.5833625793457031, 1.6023504734039307, 1.6131813526153564], ""roc_auc"": [0.5541466474533081, 0.5619817972183228, 0.5713215470314026, 0.5722605586051941]}, ""combined"": {""loss"": [1.6357667446136475, 1.5833625793457031, 1.6023504734039307, 1.6131813526153564]}}}",{},5a219c67,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_5a219c67/,0.4734666347503662,True,False,4,2026-04-15_14-36-24,1776234984,3.5755186080932617,3593237,ubunto,202.113.76.55,3.5755186080932617,4
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.2199999988079071, 0.20000000298023224, 0.20000000298023224, 0.20799998939037323, 0.20399999618530273], ""accuracy_micro"": [0.2846441864967346, 0.2996254563331604, 0.2996254563331604, 0.3071160912513733, 0.30337077379226685], ""hits_at_k"": [0.5989999771118164, 0.5839999914169312, 0.6040000319480896, 0.6040000319480896, 0.6080000400543213], ""loss"": [1.575110912322998, 1.6037508249282837, 1.5859472751617432, 1.5969455242156982, 1.5847188234329224], ""roc_auc"": [0.5006211996078491, 0.481433629989624, 0.4736659526824951, 0.5350083112716675, 0.5047082901000977]}, ""combined"": {""loss"": [1.575110912322998, 1.6037508249282837, 1.5859472751617432, 1.5969455242156982, 1.5847188234329224]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [1.7394670248031616, 1.7013959884643555, 1.6731481552124023, 1.6261237859725952, 1.6157306432724], ""roc_auc"": [0.5915945768356323, 0.6134943962097168, 0.6194490194320679, 0.6186889410018921, 0.615153431892395]}, ""combined"": {""loss"": [1.7394670248031616, 1.7013959884643555, 1.6731481552124023, 1.6261237859725952, 1.6157306432724]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6266666650772095, 0.6000000238418579, 0.6133333444595337, 0.6133333444595337, 0.6133333444595337], ""loss"": [1.6357667446136475, 1.5833625793457031, 1.6023504734039307, 1.6131813526153564, 1.6002824306488037], ""roc_auc"": [0.5541466474533081, 0.5619817972183228, 0.5713215470314026, 0.5722605586051941, 0.5723568797111511]}, ""combined"": {""loss"": [1.6357667446136475, 1.5833625793457031, 1.6023504734039307, 1.6131813526153564, 1.6002824306488037]}}}",{},5a219c67,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_5a219c67/,0.4574439525604248,True,False,5,2026-04-15_14-36-24,1776234984,4.0329625606536865,3593237,ubunto,202.113.76.55,4.0329625606536865,5
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.2199999988079071, 0.20000000298023224, 0.20000000298023224, 0.20799998939037323, 0.20399999618530273, 0.20399999618530273], ""accuracy_micro"": [0.2846441864967346, 0.2996254563331604, 0.2996254563331604, 0.3071160912513733, 0.30337077379226685, 0.30337077379226685], ""hits_at_k"": [0.5989999771118164, 0.5839999914169312, 0.6040000319480896, 0.6040000319480896, 0.6080000400543213, 0.6080000400543213], ""loss"": [1.575110912322998, 1.6037508249282837, 1.5859472751617432, 1.5969455242156982, 1.5847188234329224, 1.5814392566680908], ""roc_auc"": [0.5006211996078491, 0.481433629989624, 0.4736659526824951, 0.5350083112716675, 0.5047082901000977, 0.5639193654060364]}, ""combined"": {""loss"": [1.575110912322998, 1.6037508249282837, 1.5859472751617432, 1.5969455242156982, 1.5847188234329224, 1.5814392566680908]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [1.7394670248031616, 1.7013959884643555, 1.6731481552124023, 1.6261237859725952, 1.6157306432724, 1.641832709312439], ""roc_auc"": [0.5915945768356323, 0.6134943962097168, 0.6194490194320679, 0.6186889410018921, 0.615153431892395, 0.6154853105545044]}, ""combined"": {""loss"": [1.7394670248031616, 1.7013959884643555, 1.6731481552124023, 1.6261237859725952, 1.6157306432724, 1.641832709312439]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6266666650772095, 0.6000000238418579, 0.6133333444595337, 0.6133333444595337, 0.6133333444595337, 0.6000000238418579], ""loss"": [1.6357667446136475, 1.5833625793457031, 1.6023504734039307, 1.6131813526153564, 1.6002824306488037, 1.6132569313049316], ""roc_auc"": [0.5541466474533081, 0.5619817972183228, 0.5713215470314026, 0.5722605586051941, 0.5723568797111511, 0.5710430145263672]}, ""combined"": {""loss"": [1.6357667446136475, 1.5833625793457031, 1.6023504734039307, 1.6131813526153564, 1.6002824306488037, 1.6132569313049316]}}}",{},5a219c67,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_5a219c67/,0.4306669235229492,True,False,6,2026-04-15_14-36-25,1776234985,4.463629484176636,3593237,ubunto,202.113.76.55,4.463629484176636,6
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.04665318305998158}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.2199999988079071, 0.20000000298023224, 0.20000000298023224, 0.20799998939037323, 0.20399999618530273, 0.20399999618530273], ""accuracy_micro"": [0.2846441864967346, 0.2996254563331604, 0.2996254563331604, 0.3071160912513733, 0.30337077379226685, 0.30337077379226685], ""hits_at_k"": [0.5989999771118164, 0.5839999914169312, 0.6040000319480896, 0.6040000319480896, 0.6080000400543213, 0.6080000400543213], ""loss"": [1.575110912322998, 1.6037508249282837, 1.5859472751617432, 1.5969455242156982, 1.5847188234329224, 1.5814392566680908], ""roc_auc"": [0.5006211996078491, 0.481433629989624, 0.4736659526824951, 0.5350083112716675, 0.5047082901000977, 0.5639193654060364]}, ""combined"": {""loss"": [1.575110912322998, 1.6037508249282837, 1.5859472751617432, 1.5969455242156982, 1.5847188234329224, 1.5814392566680908]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579], ""loss"": [1.7394670248031616, 1.7013959884643555, 1.6731481552124023, 1.6261237859725952, 1.6157306432724, 1.641832709312439], ""roc_auc"": [0.5915945768356323, 0.6134943962097168, 0.6194490194320679, 0.6186889410018921, 0.615153431892395, 0.6154853105545044]}, ""combined"": {""loss"": [1.7394670248031616, 1.7013959884643555, 1.6731481552124023, 1.6261237859725952, 1.6157306432724, 1.641832709312439]}}, ""test"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758, 0.22368420660495758], ""hits_at_k"": [0.6266666650772095, 0.6000000238418579, 0.6133333444595337, 0.6133333444595337, 0.6133333444595337, 0.6000000238418579], ""loss"": [1.6357667446136475, 1.5833625793457031, 1.6023504734039307, 1.6131813526153564, 1.6002824306488037, 1.6132569313049316], ""roc_auc"": [0.5541466474533081, 0.5619817972183228, 0.5713215470314026, 0.5722605586051941, 0.5723568797111511, 0.5710430145263672]}, ""combined"": {""loss"": [1.6357667446136475, 1.5833625793457031, 1.6023504734039307, 1.6131813526153564, 1.6002824306488037, 1.6132569313049316]}}, ""evaluation_frequency"": {""frequency"": 1, ""period"": ""epoch""}}","{""label"": {""loss"": 1.7394672632217407, ""roc_auc"": 0.5930529236793518, ""accuracy"": 0.20000000298023224, ""accuracy_micro"": 0.21052631735801697, ""hits_at_k"": 0.6000000238418579, ""confusion_matrix"": [[8, 0, 0, 0, 0], [6, 0, 0, 0, 0], [10, 0, 0, 0, 0], [2, 0, 0, 0, 0], [12, 0, 0, 0, 0]], ""overall_stats"": {""token_accuracy"": 0.21052631578947367, ""avg_precision_macro"": 0.042105263157894736, ""avg_recall_macro"": 0.2, ""avg_f1_score_macro"": 0.06956521739130435, ""avg_precision_micro"": 0.21052631578947367, ""avg_recall_micro"": 0.21052631578947367, ""avg_f1_score_micro"": 0.21052631578947367, ""avg_precision_weighted"": 0.21052631578947367, ""avg_recall_weighted"": 0.21052631578947367, ""avg_f1_score_weighted"": 0.07322654462242563, ""kappa_score"": 0.0}, ""per_class_stats"": {""oos"": {""true_positives"": 8, ""true_negatives"": 0, ""false_positives"": 30, ""false_negatives"": 0, ""true_positive_rate"": 1.0, ""true_negative_rate"": 0.0, ""positive_predictive_value"": 0.21052631578947367, ""negative_predictive_value"": 0, ""false_negative_rate"": 0.0, ""false_positive_rate"": 1.0, ""false_discovery_rate"": 0.7894736842105263, ""false_omission_rate"": 1.0, ""accuracy"": 0.21052631578947367, ""precision"": 0.21052631578947367, ""recall"": 1.0, ""f1_score"": 0.34782608695652173, ""sensitivity"": 1.0, ""specificity"": 0.0, ""hit_rate"": 1.0, ""miss_rate"": 0.0, ""fall_out"": 1.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.7894736842105263}, ""administrative_office_service"": {""true_positives"": 0, ""true_negatives"": 32, ""false_positives"": 0, ""false_negatives"": 6, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.8421052631578947, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.1578947368421053, ""accuracy"": 0.8421052631578947, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.1578947368421053}, ""career_counseling_service"": {""true_positives"": 0, ""true_negatives"": 28, ""false_positives"": 0, ""false_negatives"": 10, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.7368421052631579, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.26315789473684215, ""accuracy"": 0.7368421052631579, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.26315789473684215}, ""network_information_service"": {""true_positives"": 0, ""true_negatives"": 36, ""false_positives"": 0, ""false_negatives"": 2, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.9473684210526315, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.052631578947368474, ""accuracy"": 0.9473684210526315, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.052631578947368474}, ""education_management_service"": {""true_positives"": 0, ""true_negatives"": 26, ""false_positives"": 0, ""false_negatives"": 12, ""true_positive_rate"": 0.0, ""true_negative_rate"": 1.0, ""positive_predictive_value"": 0, ""negative_predictive_value"": 0.6842105263157895, ""false_negative_rate"": 1.0, ""false_positive_rate"": 0.0, ""false_discovery_rate"": 1.0, ""false_omission_rate"": 0.3157894736842105, ""accuracy"": 0.6842105263157895, ""precision"": 0, ""recall"": 0.0, ""f1_score"": 0, ""sensitivity"": 0.0, ""specificity"": 1.0, ""hit_rate"": 0.0, ""miss_rate"": 1.0, ""fall_out"": 0.0, ""matthews_correlation_coefficient"": 0, ""informedness"": 0.0, ""markedness"": -0.3157894736842105}}}, ""combined"": {""loss"": 1.7394672632217407}}",5a219c67,/home/yhz/local_iot/banckend/storage/trained_models/latest/Bi-GRU_Hyperopt/hyperopt/trial_5a219c67/,0.18293094635009766,,False,7,2026-04-15_14-36-25,1776234985,4.646560430526733,3593237,ubunto,202.113.76.55,4.646560430526733,7
