parameters,metric_score,training_stats,eval_stats,trial_id,trial_dir,time_this_iter_s,should_checkpoint,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.1661567578247278}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.22680850327014923], ""accuracy_micro"": [0.24719101190567017], ""hits_at_k"": [0.620659589767456], ""loss"": [1.7896463871002197], ""roc_auc"": [0.5203121304512024]}, ""combined"": {""loss"": [1.7896463871002197]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224], ""accuracy_micro"": [0.21052631735801697], ""hits_at_k"": [0.6000000238418579], ""loss"": [1.5918411016464233], ""roc_auc"": [0.6060248613357544]}, ""combined"": {""loss"": [1.5918411016464233]}}, ""test"": {""label"": {""accuracy"": [0.2079857438802719], ""accuracy_micro"": [0.22368420660495758], ""hits_at_k"": [0.6533333659172058], ""loss"": [1.6217538118362427], ""roc_auc"": [0.5947678089141846]}, ""combined"": {""loss"": [1.6217538118362427]}}}",{},a7803511,/home/yhz/local_iot/banckend/storage/trained_models/latest/TextCNN_Hyperopt/hyperopt/trial_a7803511/,2.3334217071533203,True,False,1,2026-04-15_14-34-32,1776234872,2.3334217071533203,3568835,ubunto,202.113.76.55,2.3334217071533203,1
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.1661567578247278}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.22680850327014923, 0.18951062858104706], ""accuracy_micro"": [0.24719101190567017, 0.24719101190567017], ""hits_at_k"": [0.620659589767456, 0.5928084850311279], ""loss"": [1.7896463871002197, 1.7702009677886963], ""roc_auc"": [0.5203121304512024, 0.4998559355735779]}, ""combined"": {""loss"": [1.7896463871002197, 1.7702009677886963]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.15789473056793213], ""hits_at_k"": [0.6000000238418579, 0.75], ""loss"": [1.5918411016464233, 1.6594905853271484], ""roc_auc"": [0.6060248613357544, 0.6523100137710571]}, ""combined"": {""loss"": [1.5918411016464233, 1.6594905853271484]}}, ""test"": {""label"": {""accuracy"": [0.2079857438802719, 0.2343221753835678], ""accuracy_micro"": [0.22368420660495758, 0.2763157784938812], ""hits_at_k"": [0.6533333659172058, 0.664313793182373], ""loss"": [1.6217538118362427, 1.5832629203796387], ""roc_auc"": [0.5947678089141846, 0.6453758478164673]}, ""combined"": {""loss"": [1.6217538118362427, 1.5832629203796387]}}}",{},a7803511,/home/yhz/local_iot/banckend/storage/trained_models/latest/TextCNN_Hyperopt/hyperopt/trial_a7803511/,0.47554755210876465,True,False,2,2026-04-15_14-34-33,1776234873,2.808969259262085,3568835,ubunto,202.113.76.55,2.808969259262085,2
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.1661567578247278}",0.20000000298023224,"{""training"": {""label"": {""accuracy"": [0.22680850327014923, 0.18951062858104706, 0.22836171090602875], ""accuracy_micro"": [0.24719101190567017, 0.24719101190567017, 0.2509363293647766], ""hits_at_k"": [0.620659589767456, 0.5928084850311279, 0.613691508769989], ""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533], ""roc_auc"": [0.5203121304512024, 0.4998559355735779, 0.5337627530097961]}, ""combined"": {""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224], ""accuracy_micro"": [0.21052631735801697, 0.15789473056793213, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.75, 0.7333333492279053], ""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845], ""roc_auc"": [0.6060248613357544, 0.6523100137710571, 0.6374824643135071]}, ""combined"": {""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845]}}, ""test"": {""label"": {""accuracy"": [0.2079857438802719, 0.2343221753835678, 0.24156862497329712], ""accuracy_micro"": [0.22368420660495758, 0.2763157784938812, 0.2631579041481018], ""hits_at_k"": [0.6533333659172058, 0.664313793182373, 0.7303987741470337], ""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506], ""roc_auc"": [0.5947678089141846, 0.6453758478164673, 0.6320539712905884]}, ""combined"": {""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506]}}}",{},a7803511,/home/yhz/local_iot/banckend/storage/trained_models/latest/TextCNN_Hyperopt/hyperopt/trial_a7803511/,0.5095882415771484,True,False,3,2026-04-15_14-34-33,1776234873,3.3185575008392334,3568835,ubunto,202.113.76.55,3.3185575008392334,3
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.1661567578247278}",0.25,"{""training"": {""label"": {""accuracy"": [0.22680850327014923, 0.18951062858104706, 0.22836171090602875, 0.2529999911785126], ""accuracy_micro"": [0.24719101190567017, 0.24719101190567017, 0.2509363293647766, 0.32958802580833435], ""hits_at_k"": [0.620659589767456, 0.5928084850311279, 0.613691508769989, 0.7016277313232422], ""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733], ""roc_auc"": [0.5203121304512024, 0.4998559355735779, 0.5337627530097961, 0.6003080010414124]}, ""combined"": {""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.25], ""accuracy_micro"": [0.21052631735801697, 0.15789473056793213, 0.21052631735801697, 0.28947368264198303], ""hits_at_k"": [0.6000000238418579, 0.75, 0.7333333492279053, 0.7833333611488342], ""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452], ""roc_auc"": [0.6060248613357544, 0.6523100137710571, 0.6374824643135071, 0.6290408372879028]}, ""combined"": {""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452]}}, ""test"": {""label"": {""accuracy"": [0.2079857438802719, 0.2343221753835678, 0.24156862497329712, 0.2785026729106903], ""accuracy_micro"": [0.22368420660495758, 0.2763157784938812, 0.2631579041481018, 0.2631579041481018], ""hits_at_k"": [0.6533333659172058, 0.664313793182373, 0.7303987741470337, 0.7604658603668213], ""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072], ""roc_auc"": [0.5947678089141846, 0.6453758478164673, 0.6320539712905884, 0.637605607509613]}, ""combined"": {""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072]}}}",{},a7803511,/home/yhz/local_iot/banckend/storage/trained_models/latest/TextCNN_Hyperopt/hyperopt/trial_a7803511/,0.6488659381866455,True,False,4,2026-04-15_14-34-34,1776234874,3.967423439025879,3568835,ubunto,202.113.76.55,3.967423439025879,4
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.1661567578247278}",0.25,"{""training"": {""label"": {""accuracy"": [0.22680850327014923, 0.18951062858104706, 0.22836171090602875, 0.2529999911785126, 0.328010618686676], ""accuracy_micro"": [0.24719101190567017, 0.24719101190567017, 0.2509363293647766, 0.32958802580833435, 0.40449437499046326], ""hits_at_k"": [0.620659589767456, 0.5928084850311279, 0.613691508769989, 0.7016277313232422, 0.7322021722793579], ""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733, 1.438340187072754], ""roc_auc"": [0.5203121304512024, 0.4998559355735779, 0.5337627530097961, 0.6003080010414124, 0.6769946813583374]}, ""combined"": {""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733, 1.438340187072754]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.25, 0.25], ""accuracy_micro"": [0.21052631735801697, 0.15789473056793213, 0.21052631735801697, 0.28947368264198303, 0.18421052396297455], ""hits_at_k"": [0.6000000238418579, 0.75, 0.7333333492279053, 0.7833333611488342, 0.6916666626930237], ""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452, 1.6114462614059448], ""roc_auc"": [0.6060248613357544, 0.6523100137710571, 0.6374824643135071, 0.6290408372879028, 0.6228671073913574]}, ""combined"": {""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452, 1.6114462614059448]}}, ""test"": {""label"": {""accuracy"": [0.2079857438802719, 0.2343221753835678, 0.24156862497329712, 0.2785026729106903, 0.32955437898635864], ""accuracy_micro"": [0.22368420660495758, 0.2763157784938812, 0.2631579041481018, 0.2631579041481018, 0.34210526943206787], ""hits_at_k"": [0.6533333659172058, 0.664313793182373, 0.7303987741470337, 0.7604658603668213, 0.7810319662094116], ""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072, 1.4378283023834229], ""roc_auc"": [0.5947678089141846, 0.6453758478164673, 0.6320539712905884, 0.637605607509613, 0.6673217415809631]}, ""combined"": {""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072, 1.4378283023834229]}}}",{},a7803511,/home/yhz/local_iot/banckend/storage/trained_models/latest/TextCNN_Hyperopt/hyperopt/trial_a7803511/,0.565671443939209,True,False,5,2026-04-15_14-34-34,1776234874,4.533094882965088,3568835,ubunto,202.113.76.55,4.533094882965088,5
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.1661567578247278}",0.25,"{""training"": {""label"": {""accuracy"": [0.22680850327014923, 0.18951062858104706, 0.22836171090602875, 0.2529999911785126, 0.328010618686676, 0.35627657175064087], ""accuracy_micro"": [0.24719101190567017, 0.24719101190567017, 0.2509363293647766, 0.32958802580833435, 0.40449437499046326, 0.4307115972042084], ""hits_at_k"": [0.620659589767456, 0.5928084850311279, 0.613691508769989, 0.7016277313232422, 0.7322021722793579, 0.78544682264328], ""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733, 1.438340187072754, 1.3645647764205933], ""roc_auc"": [0.5203121304512024, 0.4998559355735779, 0.5337627530097961, 0.6003080010414124, 0.6769946813583374, 0.7231961488723755]}, ""combined"": {""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733, 1.438340187072754, 1.3645647764205933]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.25, 0.25, 0.25], ""accuracy_micro"": [0.21052631735801697, 0.15789473056793213, 0.21052631735801697, 0.28947368264198303, 0.18421052396297455, 0.28947368264198303], ""hits_at_k"": [0.6000000238418579, 0.75, 0.7333333492279053, 0.7833333611488342, 0.6916666626930237, 0.699999988079071], ""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452, 1.6114462614059448, 1.5322123765945435], ""roc_auc"": [0.6060248613357544, 0.6523100137710571, 0.6374824643135071, 0.6290408372879028, 0.6228671073913574, 0.6339804530143738]}, ""combined"": {""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452, 1.6114462614059448, 1.5322123765945435]}}, ""test"": {""label"": {""accuracy"": [0.2079857438802719, 0.2343221753835678, 0.24156862497329712, 0.2785026729106903, 0.32955437898635864, 0.30203208327293396], ""accuracy_micro"": [0.22368420660495758, 0.2763157784938812, 0.2631579041481018, 0.2631579041481018, 0.34210526943206787, 0.28947368264198303], ""hits_at_k"": [0.6533333659172058, 0.664313793182373, 0.7303987741470337, 0.7604658603668213, 0.7810319662094116, 0.7990771532058716], ""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072, 1.4378283023834229, 1.5230743885040283], ""roc_auc"": [0.5947678089141846, 0.6453758478164673, 0.6320539712905884, 0.637605607509613, 0.6673217415809631, 0.6842721104621887]}, ""combined"": {""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072, 1.4378283023834229, 1.5230743885040283]}}}",{},a7803511,/home/yhz/local_iot/banckend/storage/trained_models/latest/TextCNN_Hyperopt/hyperopt/trial_a7803511/,0.5385684967041016,True,False,6,2026-04-15_14-34-35,1776234875,5.0716633796691895,3568835,ubunto,202.113.76.55,5.0716633796691895,6
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.1661567578247278}",0.26499998569488525,"{""training"": {""label"": {""accuracy"": [0.22680850327014923, 0.18951062858104706, 0.22836171090602875, 0.2529999911785126, 0.328010618686676, 0.35627657175064087, 0.4140000343322754], ""accuracy_micro"": [0.24719101190567017, 0.24719101190567017, 0.2509363293647766, 0.32958802580833435, 0.40449437499046326, 0.4307115972042084, 0.49438202381134033], ""hits_at_k"": [0.620659589767456, 0.5928084850311279, 0.613691508769989, 0.7016277313232422, 0.7322021722793579, 0.78544682264328, 0.8381701707839966], ""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733, 1.438340187072754, 1.3645647764205933, 1.235685110092163], ""roc_auc"": [0.5203121304512024, 0.4998559355735779, 0.5337627530097961, 0.6003080010414124, 0.6769946813583374, 0.7231961488723755, 0.8120540380477905]}, ""combined"": {""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733, 1.438340187072754, 1.3645647764205933, 1.235685110092163]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.25, 0.25, 0.25, 0.26499998569488525], ""accuracy_micro"": [0.21052631735801697, 0.15789473056793213, 0.21052631735801697, 0.28947368264198303, 0.18421052396297455, 0.28947368264198303, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.75, 0.7333333492279053, 0.7833333611488342, 0.6916666626930237, 0.699999988079071, 0.7033333778381348], ""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452, 1.6114462614059448, 1.5322123765945435, 1.6095596551895142], ""roc_auc"": [0.6060248613357544, 0.6523100137710571, 0.6374824643135071, 0.6290408372879028, 0.6228671073913574, 0.6339804530143738, 0.6184669733047485]}, ""combined"": {""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452, 1.6114462614059448, 1.5322123765945435, 1.6095596551895142]}}, ""test"": {""label"": {""accuracy"": [0.2079857438802719, 0.2343221753835678, 0.24156862497329712, 0.2785026729106903, 0.32955437898635864, 0.30203208327293396, 0.297876238822937], ""accuracy_micro"": [0.22368420660495758, 0.2763157784938812, 0.2631579041481018, 0.2631579041481018, 0.34210526943206787, 0.28947368264198303, 0.30263158679008484], ""hits_at_k"": [0.6533333659172058, 0.664313793182373, 0.7303987741470337, 0.7604658603668213, 0.7810319662094116, 0.7990771532058716, 0.8070663213729858], ""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072, 1.4378283023834229, 1.5230743885040283, 1.435205101966858], ""roc_auc"": [0.5947678089141846, 0.6453758478164673, 0.6320539712905884, 0.637605607509613, 0.6673217415809631, 0.6842721104621887, 0.6780168414115906]}, ""combined"": {""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072, 1.4378283023834229, 1.5230743885040283, 1.435205101966858]}}}",{},a7803511,/home/yhz/local_iot/banckend/storage/trained_models/latest/TextCNN_Hyperopt/hyperopt/trial_a7803511/,0.636516809463501,True,False,7,2026-04-15_14-34-36,1776234876,5.70818018913269,3568835,ubunto,202.113.76.55,5.70818018913269,7
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.1661567578247278}",0.3216666877269745,"{""training"": {""label"": {""accuracy"": [0.22680850327014923, 0.18951062858104706, 0.22836171090602875, 0.2529999911785126, 0.328010618686676, 0.35627657175064087, 0.4140000343322754, 0.5483404397964478], ""accuracy_micro"": [0.24719101190567017, 0.24719101190567017, 0.2509363293647766, 0.32958802580833435, 0.40449437499046326, 0.4307115972042084, 0.49438202381134033, 0.5955055952072144], ""hits_at_k"": [0.620659589767456, 0.5928084850311279, 0.613691508769989, 0.7016277313232422, 0.7322021722793579, 0.78544682264328, 0.8381701707839966, 0.8910000324249268], ""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733, 1.438340187072754, 1.3645647764205933, 1.235685110092163, 1.0250701904296875], ""roc_auc"": [0.5203121304512024, 0.4998559355735779, 0.5337627530097961, 0.6003080010414124, 0.6769946813583374, 0.7231961488723755, 0.8120540380477905, 0.8608644604682922]}, ""combined"": {""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733, 1.438340187072754, 1.3645647764205933, 1.235685110092163, 1.0250701904296875]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.25, 0.25, 0.25, 0.26499998569488525, 0.3216666877269745], ""accuracy_micro"": [0.21052631735801697, 0.15789473056793213, 0.21052631735801697, 0.28947368264198303, 0.18421052396297455, 0.28947368264198303, 0.21052631735801697, 0.2631579041481018], ""hits_at_k"": [0.6000000238418579, 0.75, 0.7333333492279053, 0.7833333611488342, 0.6916666626930237, 0.699999988079071, 0.7033333778381348, 0.7416666746139526], ""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452, 1.6114462614059448, 1.5322123765945435, 1.6095596551895142, 1.7309058904647827], ""roc_auc"": [0.6060248613357544, 0.6523100137710571, 0.6374824643135071, 0.6290408372879028, 0.6228671073913574, 0.6339804530143738, 0.6184669733047485, 0.6216315031051636]}, ""combined"": {""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452, 1.6114462614059448, 1.5322123765945435, 1.6095596551895142, 1.7309058904647827]}}, ""test"": {""label"": {""accuracy"": [0.2079857438802719, 0.2343221753835678, 0.24156862497329712, 0.2785026729106903, 0.32955437898635864, 0.30203208327293396, 0.297876238822937, 0.27966225147247314], ""accuracy_micro"": [0.22368420660495758, 0.2763157784938812, 0.2631579041481018, 0.2631579041481018, 0.34210526943206787, 0.28947368264198303, 0.30263158679008484, 0.2763157784938812], ""hits_at_k"": [0.6533333659172058, 0.664313793182373, 0.7303987741470337, 0.7604658603668213, 0.7810319662094116, 0.7990771532058716, 0.8070663213729858, 0.7743092775344849], ""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072, 1.4378283023834229, 1.5230743885040283, 1.435205101966858, 1.6282902956008911], ""roc_auc"": [0.5947678089141846, 0.6453758478164673, 0.6320539712905884, 0.637605607509613, 0.6673217415809631, 0.6842721104621887, 0.6780168414115906, 0.6801751852035522]}, ""combined"": {""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072, 1.4378283023834229, 1.5230743885040283, 1.435205101966858, 1.6282902956008911]}}}",{},a7803511,/home/yhz/local_iot/banckend/storage/trained_models/latest/TextCNN_Hyperopt/hyperopt/trial_a7803511/,0.6690218448638916,True,False,8,2026-04-15_14-34-36,1776234876,6.377202033996582,3568835,ubunto,202.113.76.55,6.377202033996582,8
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.1661567578247278}",0.3216666877269745,"{""training"": {""label"": {""accuracy"": [0.22680850327014923, 0.18951062858104706, 0.22836171090602875, 0.2529999911785126, 0.328010618686676, 0.35627657175064087, 0.4140000343322754, 0.5483404397964478, 0.6553404331207275], ""accuracy_micro"": [0.24719101190567017, 0.24719101190567017, 0.2509363293647766, 0.32958802580833435, 0.40449437499046326, 0.4307115972042084, 0.49438202381134033, 0.5955055952072144, 0.7003745436668396], ""hits_at_k"": [0.620659589767456, 0.5928084850311279, 0.613691508769989, 0.7016277313232422, 0.7322021722793579, 0.78544682264328, 0.8381701707839966, 0.8910000324249268, 0.952744722366333], ""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733, 1.438340187072754, 1.3645647764205933, 1.235685110092163, 1.0250701904296875, 0.7518103718757629], ""roc_auc"": [0.5203121304512024, 0.4998559355735779, 0.5337627530097961, 0.6003080010414124, 0.6769946813583374, 0.7231961488723755, 0.8120540380477905, 0.8608644604682922, 0.9350329637527466]}, ""combined"": {""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733, 1.438340187072754, 1.3645647764205933, 1.235685110092163, 1.0250701904296875, 0.7518103718757629]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.25, 0.25, 0.25, 0.26499998569488525, 0.3216666877269745, 0.21166667342185974], ""accuracy_micro"": [0.21052631735801697, 0.15789473056793213, 0.21052631735801697, 0.28947368264198303, 0.18421052396297455, 0.28947368264198303, 0.21052631735801697, 0.2631579041481018, 0.21052631735801697], ""hits_at_k"": [0.6000000238418579, 0.75, 0.7333333492279053, 0.7833333611488342, 0.6916666626930237, 0.699999988079071, 0.7033333778381348, 0.7416666746139526, 0.7066667079925537], ""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452, 1.6114462614059448, 1.5322123765945435, 1.6095596551895142, 1.7309058904647827, 1.7932873964309692], ""roc_auc"": [0.6060248613357544, 0.6523100137710571, 0.6374824643135071, 0.6290408372879028, 0.6228671073913574, 0.6339804530143738, 0.6184669733047485, 0.6216315031051636, 0.6177754402160645]}, ""combined"": {""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452, 1.6114462614059448, 1.5322123765945435, 1.6095596551895142, 1.7309058904647827, 1.7932873964309692]}}, ""test"": {""label"": {""accuracy"": [0.2079857438802719, 0.2343221753835678, 0.24156862497329712, 0.2785026729106903, 0.32955437898635864, 0.30203208327293396, 0.297876238822937, 0.27966225147247314, 0.32744723558425903], ""accuracy_micro"": [0.22368420660495758, 0.2763157784938812, 0.2631579041481018, 0.2631579041481018, 0.34210526943206787, 0.28947368264198303, 0.30263158679008484, 0.2763157784938812, 0.34210526943206787], ""hits_at_k"": [0.6533333659172058, 0.664313793182373, 0.7303987741470337, 0.7604658603668213, 0.7810319662094116, 0.7990771532058716, 0.8070663213729858, 0.7743092775344849, 0.7919955253601074], ""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072, 1.4378283023834229, 1.5230743885040283, 1.435205101966858, 1.6282902956008911, 1.71610426902771], ""roc_auc"": [0.5947678089141846, 0.6453758478164673, 0.6320539712905884, 0.637605607509613, 0.6673217415809631, 0.6842721104621887, 0.6780168414115906, 0.6801751852035522, 0.6925212144851685]}, ""combined"": {""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072, 1.4378283023834229, 1.5230743885040283, 1.435205101966858, 1.6282902956008911, 1.71610426902771]}}}",{},a7803511,/home/yhz/local_iot/banckend/storage/trained_models/latest/TextCNN_Hyperopt/hyperopt/trial_a7803511/,0.5668420791625977,True,False,9,2026-04-15_14-34-37,1776234877,6.94404411315918,3568835,ubunto,202.113.76.55,6.94404411315918,9
"{""trainer.learning_rate"": 0.001, ""trainer.batch_size"": 64, ""input_features.text.encoder.dropout"": 0.1661567578247278}",0.3216666877269745,"{""training"": {""label"": {""accuracy"": [0.22680850327014923, 0.18951062858104706, 0.22836171090602875, 0.2529999911785126, 0.328010618686676, 0.35627657175064087, 0.4140000343322754, 0.5483404397964478, 0.6553404331207275, 0.7426808476448059], ""accuracy_micro"": [0.24719101190567017, 0.24719101190567017, 0.2509363293647766, 0.32958802580833435, 0.40449437499046326, 0.4307115972042084, 0.49438202381134033, 0.5955055952072144, 0.7003745436668396, 0.7752808928489685], ""hits_at_k"": [0.620659589767456, 0.5928084850311279, 0.613691508769989, 0.7016277313232422, 0.7322021722793579, 0.78544682264328, 0.8381701707839966, 0.8910000324249268, 0.952744722366333, 0.9789999723434448], ""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733, 1.438340187072754, 1.3645647764205933, 1.235685110092163, 1.0250701904296875, 0.7518103718757629, 0.544834315776825], ""roc_auc"": [0.5203121304512024, 0.4998559355735779, 0.5337627530097961, 0.6003080010414124, 0.6769946813583374, 0.7231961488723755, 0.8120540380477905, 0.8608644604682922, 0.9350329637527466, 0.9595094919204712]}, ""combined"": {""loss"": [1.7896463871002197, 1.7702009677886963, 1.7010834217071533, 1.571160912513733, 1.438340187072754, 1.3645647764205933, 1.235685110092163, 1.0250701904296875, 0.7518103718757629, 0.544834315776825]}}, ""validation"": {""label"": {""accuracy"": [0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.25, 0.25, 0.25, 0.26499998569488525, 0.3216666877269745, 0.21166667342185974, 0.23000000417232513], ""accuracy_micro"": [0.21052631735801697, 0.15789473056793213, 0.21052631735801697, 0.28947368264198303, 0.18421052396297455, 0.28947368264198303, 0.21052631735801697, 0.2631579041481018, 0.21052631735801697, 0.2631579041481018], ""hits_at_k"": [0.6000000238418579, 0.75, 0.7333333492279053, 0.7833333611488342, 0.6916666626930237, 0.699999988079071, 0.7033333778381348, 0.7416666746139526, 0.7066667079925537, 0.7049999833106995], ""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452, 1.6114462614059448, 1.5322123765945435, 1.6095596551895142, 1.7309058904647827, 1.7932873964309692, 1.9713150262832642], ""roc_auc"": [0.6060248613357544, 0.6523100137710571, 0.6374824643135071, 0.6290408372879028, 0.6228671073913574, 0.6339804530143738, 0.6184669733047485, 0.6216315031051636, 0.6177754402160645, 0.6283760666847229]}, ""combined"": {""loss"": [1.5918411016464233, 1.6594905853271484, 1.6047855615615845, 1.5485481023788452, 1.6114462614059448, 1.5322123765945435, 1.6095596551895142, 1.7309058904647827, 1.7932873964309692, 1.9713150262832642]}}, ""test"": {""label"": {""accuracy"": [0.2079857438802719, 0.2343221753835678, 0.24156862497329712, 0.2785026729106903, 0.32955437898635864, 0.30203208327293396, 0.297876238822937, 0.27966225147247314, 0.32744723558425903, 0.2863426208496094], ""accuracy_micro"": [0.22368420660495758, 0.2763157784938812, 0.2631579041481018, 0.2631579041481018, 0.34210526943206787, 0.28947368264198303, 0.30263158679008484, 0.2763157784938812, 0.34210526943206787, 0.28947368264198303], ""hits_at_k"": [0.6533333659172058, 0.664313793182373, 0.7303987741470337, 0.7604658603668213, 0.7810319662094116, 0.7990771532058716, 0.8070663213729858, 0.7743092775344849, 0.7919955253601074, 0.7836031913757324], ""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072, 1.4378283023834229, 1.5230743885040283, 1.435205101966858, 1.6282902956008911, 1.71610426902771, 2.0068583488464355], ""roc_auc"": [0.5947678089141846, 0.6453758478164673, 0.6320539712905884, 0.637605607509613, 0.6673217415809631, 0.6842721104621887, 0.6780168414115906, 0.6801751852035522, 0.6925212144851685, 0.6779835820198059]}, ""combined"": {""loss"": [1.6217538118362427, 1.5832629203796387, 1.6128060817718506, 1.5322458744049072, 1.4378283023834229, 1.5230743885040283, 1.435205101966858, 1.6282902956008911, 1.71610426902771, 2.0068583488464355]}}}",{},a7803511,/home/yhz/local_iot/banckend/storage/trained_models/latest/TextCNN_Hyperopt/hyperopt/trial_a7803511/,0.5297021865844727,True,False,10,2026-04-15_14-34-37,1776234877,7.473746299743652,3568835,ubunto,202.113.76.55,7.473746299743652,10
